,data,pais_origem,populacao
0,2007-01-01,Comores,610709
1,2008-01-01,Comores,62309
2,2009-01-01,Comores,635849
3,2010-01-01,Comores,649137
4,2011-01-01,Comores,662911
5,2012-01-01,Comores,67723
6,2013-01-01,Comores,691875
7,2014-01-01,Comores,70691
8,2015-01-01,Comores,722314
9,2016-01-01,Comores,738117
10,2017-01-01,Comores,754347
11,2018-01-01,Comores,768981
12,2019-01-01,Comores,783646
13,2020-01-01,Comores,798326
14,2021-01-01,Comores,814006
15,2022-01-01,Comores,829245
16,2023-01-01,Comores,844302
17,2024-01-01,Comores,859848
18,2025-01-01,Comores,875361
19,2026-01-01,Comores,890789
20,2007-01-01,Quênia,37478572
21,2008-01-01,Quênia,38595015
22,2009-01-01,Quênia,39778774
23,2010-01-01,Quênia,40950115
24,2011-01-01,Quênia,42085676
25,2012-01-01,Quênia,43184612
26,2013-01-01,Quênia,44267001
27,2014-01-01,Quênia,45317735
28,2015-01-01,Quênia,46345992
29,2016-01-01,Quênia,47356985
30,2017-01-01,Quênia,48432355
31,2018-01-01,Quênia,49463919
32,2019-01-01,Quênia,50442689
33,2020-01-01,Quênia,51460211
34,2021-01-01,Quênia,52511349
35,2022-01-01,Quênia,53499879
36,2023-01-01,Quênia,54555095
37,2024-01-01,Quênia,55646078
38,2025-01-01,Quênia,56759982
39,2026-01-01,Quênia,57887878
40,2007-01-01,Moçambique,210025
41,2008-01-01,Moçambique,21558526
42,2009-01-01,Moçambique,22132615
43,2010-01-01,Moçambique,22740704
44,2011-01-01,Moçambique,23406742
45,2012-01-01,Moçambique,241141
46,2013-01-01,Moçambique,24861122
47,2014-01-01,Moçambique,2564234
48,2015-01-01,Moçambique,26435069
49,2016-01-01,Moçambique,27251422
50,2017-01-01,Moçambique,28141563
51,2018-01-01,Moçambique,28997319
52,2019-01-01,Moçambique,29850438
53,2020-01-01,Moçambique,30720752
54,2021-01-01,Moçambique,31635726
55,2022-01-01,Moçambique,32518418
56,2023-01-01,Moçambique,33420619
57,2024-01-01,Moçambique,34374089
58,2025-01-01,Moçambique,35342715
59,2026-01-01,Moçambique,36326402
60,2007-01-01,Angola,2052659
61,2008-01-01,Angola,21292778
62,2009-01-01,Angola,22090266
63,2010-01-01,Angola,22925082
64,2011-01-01,Angola,23803289
65,2012-01-01,Angola,24714934
66,2013-01-01,Angola,25661651
67,2014-01-01,Angola,26632353
68,2015-01-01,Angola,2762432
69,2016-01-01,Angola,28631122
70,2017-01-01,Angola,29678369
71,2018-01-01,Angola,30738887
72,2019-01-01,Angola,31808179
73,2020-01-01,Angola,32898997
74,2021-01-01,Angola,33957975
75,2022-01-01,Angola,35049572
76,2023-01-01,Angola,36128402
77,2024-01-01,Angola,37240003
78,2025-01-01,Angola,38369265
79,2026-01-01,Angola,39516318
80,2007-01-01,Camarões,17993409
81,2008-01-01,Camarões,18510323
82,2009-01-01,Camarões,19043839
83,2010-01-01,Camarões,19594709
84,2011-01-01,Camarões,20161364
85,2012-01-01,Camarões,20736382
86,2013-01-01,Camarões,21328986
87,2014-01-01,Camarões,21936714
88,2015-01-01,Camarões,22662456
89,2016-01-01,Camarões,23362837
90,2017-01-01,Camarões,24060423
91,2018-01-01,Camarões,2472594
92,2019-01-01,Camarões,25427553
93,2020-01-01,Camarões,26137129
94,2021-01-01,Camarões,26845044
95,2022-01-01,Camarões,27552212
96,2023-01-01,Camarões,28276861
97,2024-01-01,Camarões,29017725
98,2025-01-01,Camarões,29771142
99,2026-01-01,Camarões,30530419
100,2007-01-01,Congo,3884331
101,2008-01-01,Congo,4028326
102,2009-01-01,Congo,4150877
103,2010-01-01,Congo,4363582
104,2011-01-01,Congo,4512186
105,2012-01-01,Congo,4656246
106,2013-01-01,Congo,4770267
107,2014-01-01,Congo,4885866
108,2015-01-01,Congo,5003857
109,2016-01-01,Congo,5124915
110,2017-01-01,Congo,5248732
111,2018-01-01,Congo,5375947
112,2019-01-01,Congo,5506177
113,2020-01-01,Congo,5635288
114,2021-01-01,Congo,576906
115,2022-01-01,Congo,5902552
116,2023-01-01,Congo,6038296
117,2024-01-01,Congo,6175442
118,2025-01-01,Congo,6313653
119,2026-01-01,Congo,6453823
120,2007-01-01,Guiné Equatorial,926416
121,2008-01-01,Guiné Equatorial,971213
122,2009-01-01,Guiné Equatorial,101873
123,2010-01-01,Guiné Equatorial,1068642
124,2011-01-01,Guiné Equatorial,1120407
125,2012-01-01,Guiné Equatorial,1168769
126,2013-01-01,Guiné Equatorial,1218502
127,2014-01-01,Guiné Equatorial,126938
128,2015-01-01,Guiné Equatorial,1320986
129,2016-01-01,Guiné Equatorial,137296
130,2017-01-01,Guiné Equatorial,1424893
131,2018-01-01,Guiné Equatorial,1476495
132,2019-01-01,Guiné Equatorial,1527688
133,2020-01-01,Guiné Equatorial,1578373
134,2021-01-01,Guiné Equatorial,1613724
135,2022-01-01,Guiné Equatorial,1655207
136,2023-01-01,Guiné Equatorial,1694609
137,2024-01-01,Guiné Equatorial,1734734
138,2025-01-01,Guiné Equatorial,1775252
139,2026-01-01,Guiné Equatorial,1815896
140,2007-01-01,São Tomé e Príncipe,167764
141,2008-01-01,São Tomé e Príncipe,171925
142,2009-01-01,São Tomé e Príncipe,176082
143,2010-01-01,São Tomé e Príncipe,180174
144,2011-01-01,São Tomé e Príncipe,184103
145,2012-01-01,São Tomé e Príncipe,187986
146,2013-01-01,São Tomé e Príncipe,191863
147,2014-01-01,São Tomé e Príncipe,195651
148,2015-01-01,São Tomé e Príncipe,199343
149,2016-01-01,São Tomé e Príncipe,202904
150,2017-01-01,São Tomé e Príncipe,206361
151,2018-01-01,São Tomé e Príncipe,209712
152,2019-01-01,São Tomé e Príncipe,212976
153,2020-01-01,São Tomé e Príncipe,216222
154,2021-01-01,São Tomé e Príncipe,22106
155,2022-01-01,São Tomé e Príncipe,225155
156,2023-01-01,São Tomé e Príncipe,229604
