,Data,Tipo da uva,Nome da uva,Kilogramas
0,2007-01-01,TIN,TINTAS,43653087
1,2007-01-01,TINTAS,Alicante Bouschet,1775837
2,2007-01-01,TINTAS,Ancelota,1532209
3,2007-01-01,TINTAS,Alfrocheiro,20509
4,2007-01-01,TINTAS,Arinarnoa,24878
5,2007-01-01,TINTAS,Barbera,68946
6,2007-01-01,TINTAS,Bonarda,6207
7,2007-01-01,TINTAS,Cabernet Franc,4081725
8,2007-01-01,TINTAS,Cabernet Sauvignon,14489153
9,2007-01-01,TINTAS,Caladoc,1100
10,2007-01-01,TINTAS,Carmenere,328254
11,2007-01-01,TINTAS,Castelão,487
12,2007-01-01,TINTAS,Croatina,4700
13,2007-01-01,TINTAS,Dom Felder,17590
14,2007-01-01,TINTAS,Egiodola,1265676
15,2007-01-01,TINTAS,Franconia,3633
16,2007-01-01,TINTAS,Freisa,6727
17,2007-01-01,TINTAS,Gamay St Romain,45266
18,2007-01-01,TINTAS,Gamay Beaujolais,320115
19,2007-01-01,TINTAS,Jaen,215
20,2007-01-01,TINTAS,Lagrein,190
21,2007-01-01,TINTAS,Lambrusco,96068
22,2007-01-01,TINTAS,Malbec,399928
23,2007-01-01,TINTAS,Merlot,11399362
24,2007-01-01,TINTAS,Marselan,109574
25,2007-01-01,TINTAS,Montepulciano,30820
26,2007-01-01,TINTAS,Napa Gamay,175040
27,2007-01-01,TINTAS,Nebbiolo,13971
28,2007-01-01,TINTAS,Petit Verdot,57029
29,2007-01-01,TINTAS,Petite Sirah,99577
30,2007-01-01,TINTAS,Pinotage,1113861
31,2007-01-01,TINTAS,Pinot Noir,1270351
32,2007-01-01,TINTAS,Pinot Saint George,72560
33,2007-01-01,TINTAS,Rebo,3000
34,2007-01-01,TINTAS,Refosco,17415
35,2007-01-01,TINTAS,Ruby Cabernet,782800
36,2007-01-01,TINTAS,Sangiovese,115475
37,2007-01-01,TINTAS,Tannat,3514880
38,2007-01-01,TINTAS,Tempranillo,192063
39,2007-01-01,TINTAS,Teroldego,61659
40,2007-01-01,TINTAS,Tinta Barroca,6520
41,2007-01-01,TINTAS,Touriga Nacional,127462
42,2007-01-01,TINTAS,Trincdeira,255
43,2007-01-01,BRA,BRANCAS E ROSADAS,28254191
44,2007-01-01,BRANCAS E ROSADAS,Alvarinho,2477
45,2007-01-01,BRANCAS E ROSADAS,Arriloba,22832
46,2007-01-01,BRANCAS E ROSADAS,Chardonnay,1752488
47,2007-01-01,BRANCAS E ROSADAS,Chasselas,48268
48,2007-01-01,BRANCAS E ROSADAS,Chenin Blanc,355185
49,2007-01-01,BRANCAS E ROSADAS,Colombard,593625
50,2007-01-01,BRANCAS E ROSADAS,Flora,176396
51,2007-01-01,BRANCAS E ROSADAS,Garganega,16970
52,2007-01-01,BRANCAS E ROSADAS,Gewurztraminer,284818
53,2007-01-01,BRANCAS E ROSADAS,Gouveio,5848
54,2007-01-01,BRANCAS E ROSADAS,Gros Manseng,5770
55,2007-01-01,BRANCAS E ROSADAS,Malvasia Amarela,94281
56,2007-01-01,BRANCAS E ROSADAS,Malvasia Bianca,191316
57,2007-01-01,BRANCAS E ROSADAS,Malvasia Chianti,15235
58,2007-01-01,BRANCAS E ROSADAS,Malvasia Verde,253369
59,2007-01-01,BRANCAS E ROSADAS,Malvasia di Candia,283476
60,2007-01-01,BRANCAS E ROSADAS,Moscato Branco,15717087
61,2007-01-01,BRANCAS E ROSADAS,Moscato Canelli,84053
62,2007-01-01,BRANCAS E ROSADAS,Moscato Giallo,1173519
63,2007-01-01,BRANCAS E ROSADAS,Moscato Nazareno,616480
64,2007-01-01,BRANCAS E ROSADAS,Moscato Bianco R2,406650
65,2007-01-01,BRANCAS E ROSADAS,Moscato de Alexandria,51979
66,2007-01-01,BRANCAS E ROSADAS,Moscato Rosado,1226
67,2007-01-01,BRANCAS E ROSADAS,Peverella,111726
68,2007-01-01,BRANCAS E ROSADAS,Pinot Blanc,14620
69,2007-01-01,BRANCAS E ROSADAS,Pinot Gris,28779
70,2007-01-01,BRANCAS E ROSADAS,Prosecco,910158
71,2007-01-01,BRANCAS E ROSADAS,Riesling Italico,1960822
