,data,tipo_vinho,vinho,litro
0,2007-01-01,VINHO DE MESA,Tinto,228156220
1,2007-01-01,VINHO DE MESA,Branco,42118552
2,2007-01-01,VINHO DE MESA,Rosado,5013136
3,2007-01-01,VINHO FINO DE MESA (VINÍFERA),Tinto,24786071
4,2007-01-01,VINHO FINO DE MESA (VINÍFERA),Branco,17598428
5,2007-01-01,VINHO FINO DE MESA (VINÍFERA),Rosado,791985
6,2007-01-01,SUCO,Suco de uva integral,10147037
7,2007-01-01,SUCO,Suco de uva concentrado,19280709
8,2007-01-01,SUCO,Suco de uva adoçado,709098
9,2007-01-01,SUCO,Suco de uva orgânico,0
10,2007-01-01,SUCO,Suco de uva reconstituído,0
11,2007-01-01,DERIVADOS,Espumante,0
12,2007-01-01,DERIVADOS,Espumante moscatel,589332
13,2007-01-01,DERIVADOS,Base espumante,78250
14,2007-01-01,DERIVADOS,Base espumante moscatel,111200
15,2007-01-01,DERIVADOS,Base Champenoise champanha,0
16,2007-01-01,DERIVADOS,Base Charmat champanha,0
17,2007-01-01,DERIVADOS,Bebida de uva,0
18,2007-01-01,DERIVADOS,Polpa de uva,1083202
19,2007-01-01,DERIVADOS,Mosto simples,37558010
20,2007-01-01,DERIVADOS,Mosto concentrado,110000
21,2007-01-01,DERIVADOS,Mosto de uva com bagaço,0
22,2007-01-01,DERIVADOS,Mosto dessulfitado,0
23,2007-01-01,DERIVADOS,Mistelas,1900
24,2007-01-01,DERIVADOS,Néctar de uva,0
25,2007-01-01,DERIVADOS,Licorosos,0
26,2007-01-01,DERIVADOS,Compostos,0
27,2007-01-01,DERIVADOS,Jeropiga,0
28,2007-01-01,DERIVADOS,Filtrado,0
29,2007-01-01,DERIVADOS,Frisante,0
30,2007-01-01,DERIVADOS,Vinho leve,0
31,2007-01-01,DERIVADOS,Vinho licoroso,27926
32,2007-01-01,DERIVADOS,Brandy,0
33,2007-01-01,DERIVADOS,Destilado,0
34,2007-01-01,DERIVADOS,Bagaceira,48500
35,2007-01-01,DERIVADOS,Licor de bagaceira,0
36,2007-01-01,DERIVADOS,Vinagre,0
37,2007-01-01,DERIVADOS,Borra líquida,2095873
38,2007-01-01,DERIVADOS,Borra seca,0
39,2007-01-01,DERIVADOS,Vinho Composto,0
40,2007-01-01,DERIVADOS,Pisco,0
41,2007-01-01,DERIVADOS,Vinho orgânico,307410
42,2007-01-01,DERIVADOS,Espumante orgânico,0
43,2007-01-01,DERIVADOS,Destilado alcoólico simples de bagaceira ,0
44,2007-01-01,DERIVADOS,Vinho acidificado ,0
45,2007-01-01,DERIVADOS,Mosto parcialmente fermentado ,0
46,2007-01-01,DERIVADOS,Outros derivados,0
47,2008-01-01,VINHO DE MESA,Tinto,241057928
48,2008-01-01,VINHO DE MESA,Branco,42942053
49,2008-01-01,VINHO DE MESA,Rosado,3506830
50,2008-01-01,VINHO FINO DE MESA (VINÍFERA),Tinto,27583032
51,2008-01-01,VINHO FINO DE MESA (VINÍFERA),Branco,18812571
52,2008-01-01,VINHO FINO DE MESA (VINÍFERA),Rosado,938898
53,2008-01-01,SUCO,Suco de uva integral,11817941
54,2008-01-01,SUCO,Suco de uva concentrado,23014646
55,2008-01-01,SUCO,Suco de uva adoçado,815407
56,2008-01-01,SUCO,Suco de uva orgânico,0
57,2008-01-01,SUCO,Suco de uva reconstituído,0
58,2008-01-01,DERIVADOS,Espumante,88690
59,2008-01-01,DERIVADOS,Espumante moscatel,1113462
60,2008-01-01,DERIVADOS,Base espumante,220120
61,2008-01-01,DERIVADOS,Base espumante moscatel,474721
62,2008-01-01,DERIVADOS,Base Champenoise champanha,0
63,2008-01-01,DERIVADOS,Base Charmat champanha,0
64,2008-01-01,DERIVADOS,Bebida de uva,1082700
65,2008-01-01,DERIVADOS,Polpa de uva,1188260
66,2008-01-01,DERIVADOS,Mosto simples,53683415
67,2008-01-01,DERIVADOS,Mosto concentrado,0
68,2008-01-01,DERIVADOS,Mosto de uva com bagaço,0
69,2008-01-01,DERIVADOS,Mosto dessulfitado,0
70,2008-01-01,DERIVADOS,Mistelas,2000
71,2008-01-01,DERIVADOS,Néctar de uva,0
72,2008-01-01,DERIVADOS,Licorosos,0
73,2008-01-01,DERIVADOS,Compostos,0
74,2008-01-01,DERIVADOS,Jeropiga,0
75,2008-01-01,DERIVADOS,Filtrado,0
76,2008-01-01,DERIVADOS,Frisante,0
77,2008-01-01,DERIVADOS,Vinho leve,0
78,2008-01-01,DERIVADOS,Vinho licoroso,65650
79,2008-01-01,DERIVADOS,Brandy,0
80,2008-01-01,DERIVADOS,Destilado,0
81,2008-01-01,DERIVADOS,Bagaceira,8500
82,2008-01-01,DERIVADOS,Licor de bagaceira,0
83,2008-01-01,DERIVADOS,Vinagre,0
84,2008-01-01,DERIVADOS,Borra líquida,1679775
85,2008-01-01,DERIVADOS,Borra seca,0
86,2008-01-01,DERIVADOS,Vinho Composto,0
87,2008-01-01,DERIVADOS,Pisco,0
88,2008-01-01,DERIVADOS,Vinho orgânico,15000
89,2008-01-01,DERIVADOS,Espumante orgânico,0
90,2008-01-01,DERIVADOS,Destilado alcoólico simples de bagaceira ,0
91,2008-01-01,DERIVADOS,Vinho acidificado ,0
92,2008-01-01,DERIVADOS,Mosto parcialmente fermentado ,0
93,2008-01-01,DERIVADOS,Outros derivados,0
94,2009-01-01,VINHO DE MESA,Tinto,164143454
95,2009-01-01,VINHO DE MESA,Branco,39211278
96,2009-01-01,VINHO DE MESA,Rosado,2063474
97,2009-01-01,VINHO FINO DE MESA (VINÍFERA),Tinto,18209043
98,2009-01-01,VINHO FINO DE MESA (VINÍFERA),Branco,21366975
99,2009-01-01,VINHO FINO DE MESA (VINÍFERA),Rosado,324550
100,2009-01-01,SUCO,Suco de uva integral,16034003
101,2009-01-01,SUCO,Suco de uva concentrado,23006457
102,2009-01-01,SUCO,Suco de uva adoçado,674638
103,2009-01-01,SUCO,Suco de uva orgânico,0
104,2009-01-01,SUCO,Suco de uva reconstituído,0
105,2009-01-01,DERIVADOS,Espumante,0
106,2009-01-01,DERIVADOS,Espumante moscatel,1190500
107,2009-01-01,DERIVADOS,Base espumante,335850
108,2009-01-01,DERIVADOS,Base espumante moscatel,442150
109,2009-01-01,DERIVADOS,Base Champenoise champanha,0
110,2009-01-01,DERIVADOS,Base Charmat champanha,0
111,2009-01-01,DERIVADOS,Bebida de uva,420
112,2009-01-01,DERIVADOS,Polpa de uva,1352417
113,2009-01-01,DERIVADOS,Mosto simples,53418555
114,2009-01-01,DERIVADOS,Mosto concentrado,0
115,2009-01-01,DERIVADOS,Mosto de uva com bagaço,0
116,2009-01-01,DERIVADOS,Mosto dessulfitado,0
117,2009-01-01,DERIVADOS,Mistelas,3500
118,2009-01-01,DERIVADOS,Néctar de uva,0
119,2009-01-01,DERIVADOS,Licorosos,38000
120,2009-01-01,DERIVADOS,Compostos,0
121,2009-01-01,DERIVADOS,Jeropiga,0
122,2009-01-01,DERIVADOS,Filtrado,0
123,2009-01-01,DERIVADOS,Frisante,0
124,2009-01-01,DERIVADOS,Vinho leve,0
125,2009-01-01,DERIVADOS,Vinho licoroso,0
126,2009-01-01,DERIVADOS,Brandy,0
127,2009-01-01,DERIVADOS,Destilado,0
128,2009-01-01,DERIVADOS,Bagaceira,6500
129,2009-01-01,DERIVADOS,Licor de bagaceira,0
130,2009-01-01,DERIVADOS,Vinagre,0
131,2009-01-01,DERIVADOS,Borra líquida,0
132,2009-01-01,DERIVADOS,Borra seca,0
133,2009-01-01,DERIVADOS,Vinho Composto,0
134,2009-01-01,DERIVADOS,Pisco,0
135,2009-01-01,DERIVADOS,Vinho orgânico,0
136,2009-01-01,DERIVADOS,Espumante orgânico,0
137,2009-01-01,DERIVADOS,Destilado alcoólico simples de bagaceira ,0
138,2009-01-01,DERIVADOS,Vinho acidificado ,0
139,2009-01-01,DERIVADOS,Mosto parcialmente fermentado ,0
140,2009-01-01,DERIVADOS,Outros derivados,0
141,2010-01-01,VINHO DE MESA,Tinto,157290088
142,2010-01-01,VINHO DE MESA,Branco,35408083
