,data,preco_petroleo,real_projecao
0,2024-05-13,83.18,Real
1,2024-05-10,83.39,Real
2,2024-05-09,83.27,Real
3,2024-05-08,82.44,Real
4,2024-05-07,82.69,Real
5,2024-05-03,83.6,Real
6,2024-05-02,84.81,Real
7,2024-05-01,83.55,Real
8,2024-04-30,88.23,Real
9,2024-04-29,88.44,Real
10,2024-04-26,89.95,Real
11,2024-04-25,88.1,Real
12,2024-04-24,89.02,Real
13,2024-04-23,88.29,Real
14,2024-04-22,87.3,Real
15,2024-04-19,87.96,Real
16,2024-04-18,88.34,Real
17,2024-04-17,89.54,Real
18,2024-04-16,91.29,Real
19,2024-04-15,90.84,Real
20,2024-04-12,93.12,Real
21,2024-04-11,91.49,Real
22,2024-04-10,91.57,Real
23,2024-04-09,92.13,Real
24,2024-04-08,91.73,Real
25,2024-04-05,92.81,Real
26,2024-04-04,90.32,Real
27,2024-04-03,90.6,Real
28,2024-04-02,87.63,Real
29,2024-03-28,86.17,Real
30,2024-03-27,84.94,Real
31,2024-03-26,85.91,Real
32,2024-03-25,86.18,Real
33,2024-03-22,84.87,Real
34,2024-03-21,84.92,Real
35,2024-03-20,85.77,Real
36,2024-03-19,87.36,Real
37,2024-03-18,86.47,Real
38,2024-03-15,85.39,Real
39,2024-03-14,86.16,Real
40,2024-03-13,83.95,Real
41,2024-03-12,83.66,Real
42,2024-03-11,83.44,Real
43,2024-03-08,84.29,Real
44,2024-03-07,84.88,Real
45,2024-03-06,86.59,Real
46,2024-03-05,85.82,Real
47,2024-03-04,86.58,Real
48,2024-03-01,84.82,Real
49,2024-02-29,84.57,Real
50,2024-02-28,84.08,Real
51,2024-02-27,83.8,Real
52,2024-02-26,84.01,Real
53,2024-02-23,84.18,Real
54,2024-02-22,85.84,Real
55,2024-02-21,84.77,Real
56,2024-02-20,84.78,Real
57,2024-02-19,85.52,Real
58,2024-02-16,84.88,Real
59,2024-02-15,84.33,Real
60,2024-02-14,84.41,Real
61,2024-02-13,84.72,Real
62,2024-02-12,83.88,Real
63,2024-02-09,83.58,Real
64,2024-02-08,83.01,Real
65,2024-02-07,81.18,Real
66,2024-02-06,80.46,Real
67,2024-02-05,79.3,Real
68,2024-02-02,79.54,Real
69,2024-02-01,82.2,Real
70,2024-01-31,82.98,Real
71,2024-01-30,84.14,Real
72,2024-01-29,83.99,Real
73,2024-01-26,83.34,Real
74,2024-01-25,82.33,Real
75,2024-01-24,82.15,Real
76,2024-01-23,82.04,Real
77,2024-01-22,81.7,Real
78,2024-01-19,80.71,Real
79,2024-01-18,81.04,Real
80,2024-01-17,78.88,Real
81,2024-01-16,80.15,Real
82,2024-01-15,79.76,Real
83,2024-01-12,79.89,Real
84,2024-01-11,80.21,Real
85,2024-01-10,78.46,Real
86,2024-01-09,77.97,Real
87,2024-01-08,75.47,Real
88,2024-01-05,78.31,Real
89,2024-01-04,75.79,Real
90,2024-01-03,77.18,Real
91,2024-01-02,76.24,Real
92,2023-12-29,77.69,Real
93,2023-12-28,79.04,Real
94,2023-12-27,80.97,Real
95,2023-12-26,80.23,Real
96,2023-12-22,80.23,Real
97,2023-12-21,80.73,Real
98,2023-12-20,81.1,Real
99,2023-12-19,79.82,Real
100,2023-12-18,78.89,Real
101,2023-12-15,76.84,Real
102,2023-12-14,77.05,Real
103,2023-12-13,74.14,Real
104,2023-12-12,74.11,Real
105,2023-12-11,75.75,Real
106,2023-12-08,75.94,Real
107,2023-12-07,74.21,Real
108,2023-12-06,74.33,Real
109,2023-12-05,77.27,Real
110,2023-12-04,78.16,Real
111,2023-12-01,78.72,Real
112,2023-11-30,81.72,Real
113,2023-11-29,82.98,Real
114,2023-11-28,81.66,Real
115,2023-11-27,79.49,Real
116,2023-11-24,79.82,Real
117,2023-11-23,80.85,Real
118,2023-11-22,81.76,Real
119,2023-11-21,82.42,Real
120,2023-11-20,83.25,Real
121,2023-11-17,81.22,Real
122,2023-11-16,77.73,Real
123,2023-11-15,82.4,Real
124,2023-11-14,84.2,Real
125,2023-11-13,84.09,Real
126,2023-11-10,83.66,Real
127,2023-11-09,81.74,Real
128,2023-11-08,81.46,Real
129,2023-11-07,83.43,Real
130,2023-11-06,87.31,Real
131,2023-10-30,90.73,Real
132,2023-10-27,90.73,Real
