IdTurmaHorario,IdTurma,DiaSemana,Aula,IdDisciplina,IdSala
1,235,2,T6,1,
2,235,2,T7,1,
3,235,2,T8,1,
4,235,5,T6,4,
5,235,5,T7,4,
6,235,5,T8,4,
7,235,6,T3,16,
8,235,6,T4,16,
9,236,2,T8,1,
10,236,2,N1,1,
11,236,2,N2,1,
13,236,4,N1,4,
14,236,4,N2,4,
15,236,4,T8,4,
16,236,5,N5,16,
17,236,5,N6,16,
18,237,3,M3,1,
19,237,3,M4,1,
20,237,2,M4,16,
21,237,5,M5,4,
22,237,5,M6,4,
23,237,5,M7,4,
24,237,3,M5,1,
25,238,4,M7,1,
26,238,4,M8,1,
27,238,6,M5,4,
28,238,6,M6,4,
29,238,6,M7,4,
30,238,2,M2,16,
31,238,2,M3,16,
32,410,2,T5,1,
33,410,2,T6,1,
34,410,2,T7,1,
35,410,4,T5,4,
36,410,4,T6,4,
37,410,4,T7,4,
38,410,5,T7,16,
39,410,5,T8,16,
40,411,2,N3,1,
41,411,2,N4,1,
42,411,2,N5,1,
43,411,4,N3,4,
44,411,4,N4,4,
45,411,4,N5,4,
46,411,5,N3,16,
47,411,5,N4,16,
48,420,2,T3,1,
49,420,2,T4,1,
50,420,2,T5,1,
51,420,5,T3,4,
52,420,5,T4,4,
53,420,5,T5,4,
54,420,4,T1,16,
55,420,4,T2,16,
56,239,3,T6,1,
57,239,3,T7,1,
58,239,3,T8,1,
59,239,4,T7,4,
60,239,4,T8,4,
61,239,4,N1,4,
62,239,4,N2,16,
63,239,4,N3,16,
64,240,3,N5,1,
65,240,3,N6,1,
66,240,3,N7,1,
67,240,5,N5,4,
68,240,5,N6,4,
69,240,5,N7,4,
71,240,4,T8,16,
72,240,4,N1,16,
73,241,2,M7,1,
74,241,2,M8,1,
75,241,5,M1,4,
76,241,5,M2,4,
77,241,5,M3,4,
78,241,3,M5,16,
79,241,3,M6,16,
80,147,3,M3,1,
81,147,3,M4,1,
82,147,3,M5,1,
83,147,6,M1,4,
84,147,6,M2,4,
85,147,6,M3,4,
86,147,3,M1,16,
87,147,3,M2,16,
88,412,3,N2,1,
89,412,3,N3,1,
90,412,3,N4,1,
91,412,5,N4,4,
92,412,5,N3,4,
93,412,5,N2,4,
94,412,4,N4,16,
95,412,4,N5,16,
96,421,3,T3,1,
97,421,3,T4,1,
98,421,3,T5,1,
99,421,4,T3,4,
100,421,4,T4,4,
101,421,4,T5,4,
102,421,4,T6,16,
103,421,4,T7,16,
104,422,2,M4,1,
105,422,2,M5,1,
106,422,2,M6,1,
107,422,4,M7,4,
108,422,4,M8,4,
109,422,3,M7,16,
110,422,3,M8,16,
111,149,2,N2,1,
112,149,2,N3,1,
113,149,2,N4,1,
114,149,5,N2,4,
115,149,5,N3,4,
116,149,5,N4,4,
117,149,5,N1,16,
118,149,5,T8,16,
119,150,3,T3,1,
120,150,3,T4,1,
121,150,3,T5,1,
122,150,5,T3,4,
123,150,5,T5,4,
124,150,5,T4,4,
125,150,5,T6,16,
126,150,5,T7,16,
127,151,3,M7,1,
128,151,3,M8,1,
129,151,6,M7,4,
130,151,6,M8,4,
131,151,4,M2,16,
132,151,4,M3,16,
133,152,2,M1,1,
134,152,2,M2,1,
135,152,2,M3,1,
136,152,5,M4,4,
137,152,5,M5,4,
138,152,5,M6,4,
139,152,4,M4,16,
140,152,4,M5,16,
141,153,3,T6,1,
142,153,3,T7,1,
143,153,3,T8,1,
144,153,5,T6,4,
145,153,5,T7,4,
146,153,5,T8,4,
147,153,5,T4,16,
148,153,5,T5,16,
149,418,2,M4,1,
150,418,2,M5,1,
151,418,2,M6,1,
152,418,5,M1,4,
153,418,5,M2,4,
154,418,5,M3,4,
155,418,4,M2,16,
156,418,4,M3,16,
157,148,2,T1,1,
158,148,2,T2,1,
159,148,2,T3,1,
160,148,4,T1,4,
161,148,4,T2,4,
162,148,4,T3,4,
163,148,5,T1,16,
164,148,5,T2,16,
165,156,4,M3,1,
166,156,4,M4,1,
167,156,4,M5,1,
168,156,6,M3,4,
169,156,6,M4,4,
170,156,6,M5,4,
171,156,5,M4,16,
172,156,5,M5,16,
173,157,3,M7,1,
174,157,3,M8,1,
175,157,4,M3,4,
176,157,4,M4,4,
177,157,4,M5,4,
178,157,5,M6,16,
179,157,5,M7,16,
180,159,5,T7,1,
181,159,5,T8,1,
182,159,5,N1,1,
183,159,3,T6,4,
184,159,3,T7,4,
185,159,3,T8,4,
186,159,2,T7,16,
187,159,2,T8,16,
188,160,5,N2,1,
189,160,5,N3,1,
190,160,5,N4,1,
191,160,3,N1,4,
192,160,3,N2,4,
193,160,3,N3,4,
194,160,2,N5,16,
195,160,2,N6,16,
196,161,5,N5,1,
197,161,5,N6,1,
198,161,5,N7,1,
199,161,3,N4,4,
200,161,3,N6,4,
201,161,3,N5,4,
202,161,2,N3,16,
203,161,2,N4,16,
204,257,6,M4,1,
205,257,6,M5,1,
206,257,6,M6,1,
207,257,4,M4,4,
208,257,4,M5,4,
209,257,4,M6,4,
210,257,2,M6,16,
211,257,2,M7,16,
212,162,6,M7,1,
213,162,6,M8,1,
214,162,4,M7,4,
215,162,4,M8,4,
216,162,2,M8,16,
217,163,3,T2,1,
218,163,3,T3,1,
219,163,3,T4,1,
220,163,4,T6,4,
221,163,4,T7,4,
222,163,4,T8,4,
223,163,3,T5,16,
224,163,3,T6,16,
225,164,5,N2,1,
226,164,5,N3,1,
227,164,5,N4,1,
228,164,4,N1,4,
229,164,4,N2,4,
230,164,4,N3,4,
231,164,3,N5,16,
232,164,3,N6,16,
233,244,5,N5,1,
234,244,5,N6,1,
235,244,5,N7,1,
236,244,4,N4,4,
237,244,4,N5,4,
238,244,4,N6,4,
239,244,3,N3,16,
240,244,3,N4,16,
241,165,2,M7,1,
242,165,2,M8,1,
243,165,3,M6,4,
244,165,3,M7,4,
245,165,3,M8,4,
246,165,3,M3,16,
247,165,3,M4,16,
248,267,6,T3,1,
249,267,6,T4,1,
250,267,6,T5,1,
251,267,2,T8,4,
252,267,2,N1,4,
253,267,2,N2,4,
