IdSerie,IdDisciplina,IdPeriodo,TipoComposicao,IdFormulaComposicao,IdDisciplinaComposicao,OrdemBoletim,RequerNota,CargaHorariaSemanal,TipoAula,StUsaNotaConceito,StExibirBoletim,StExibirAtaResultadosFinais,StExibirHistorico,ConteudoProgramatico,IdMetaConjunto,IdGradeCurricular,CargaHorariaAnual,IdDisciplinaAlternativa,ConteudoProgramatico_HTML,NovoEnsinoMedio_GrupoEstruturaCurricular,NovoEnsinoMedio_AreaConhecimento,QtdeAulaSemanal_HoraMinuto,_CargaHorariaDiaria_HoraMinuto,CargaHorariaAnual_HoraMinuto,CargaHorariaAula_HoraMinuto
2,1,4,N,,,1,True,1.0,,False,True,True,False,,,6,,,,,,,,,
2,4,4,N,,,2,True,1.0,,False,True,True,False,,,7,,,,,,,,,
2,16,4,N,,,3,False,1.0,,False,False,False,False,,,8,,,,,,,,,
8,1,4,N,,,1,True,1.0,,False,True,True,False,,,9,,,,,,,,,
8,4,4,N,,,2,True,1.0,,False,True,True,False,,,10,,,,,,,,,
8,16,4,N,,,3,False,1.0,,False,False,True,False,,,11,,,,,,,,,
11,1,4,N,,,1,True,1.0,,False,True,True,False,,,12,,,,,,,,,
11,4,4,N,,,2,True,1.0,,False,True,True,False,,,13,,,,,,,,,
11,19,4,N,,,3,False,1.0,,False,False,True,True,,,65,,,,,,,,,
15,1,4,N,,,1,True,1.0,,False,True,True,False,,,15,,,,,,,,,
15,4,4,N,,,2,True,1.0,,False,True,True,False,,,16,,,,,,,,,
15,5,4,N,,,4,True,1.0,,False,True,True,False,,,18,,,,,,,,,
15,19,4,N,,,3,False,1.0,,False,False,True,True,,,64,,,,,,,,,
18,5,4,N,,,4,True,1.0,,False,True,True,False,,,38,,,,,,,,,
18,20,4,N,,,3,False,1.0,,False,False,True,True,,,63,,,,,,,,,
24,1,4,N,,,1,True,1.0,,False,True,True,False,,,24,,,,,,,,,
24,4,4,N,,,2,True,1.0,,False,True,True,False,,,25,,,,,,,,,
24,5,4,N,,,4,True,1.0,,False,True,True,False,,,26,,,,,,,,,
24,17,4,N,,,3,False,1.0,,False,False,True,True,,,27,,,,,,,,,
25,1,4,N,,,1,True,1.0,,False,True,True,False,,,19,,,,,,,,,
25,4,4,N,,,2,True,1.0,,False,True,True,False,,,20,,,,,,,,,
25,5,4,N,,,4,True,1.0,,False,True,True,False,,,21,,,,,,,,,
25,17,4,N,,,3,False,1.0,,False,False,True,True,,,23,,,,,,,,,
29,1,4,N,,,1,True,1.0,,False,True,True,False,,,28,,,,,,,,,
29,4,4,N,,,2,True,1.0,,False,True,True,False,,,29,,,,,,,,,
29,5,4,N,,,4,True,1.0,,False,True,True,False,,,30,,,,,,,,,
29,17,4,N,,,3,False,1.0,,False,False,True,True,,,31,,,,,,,,,
32,1,4,N,,,1,True,1.0,,False,True,True,False,,,32,,,,,,,,,
32,4,4,N,,,2,True,1.0,,False,True,True,False,,,33,,,,,,,,,
32,5,4,N,,,4,True,1.0,,False,True,True,False,,,34,,,,,,,,,
32,17,4,N,,,3,False,1.0,,False,False,True,True,,,35,,,,,,,,,
33,18,4,N,,,4,True,1.0,,False,False,True,False,,,44,,,,,,,,,
34,18,4,N,,,13,True,1.0,,True,False,True,False,,,54,,,,,,,,,
35,18,4,N,,,7,True,1.0,,False,False,True,False,,,46,,,,,,,,,
36,18,4,N,,,15,True,,,False,False,True,False,,,57,,,,,,,,,
37,18,4,N,,,5,False,1.0,,False,False,False,False,,,45,,,,,,,,,
38,18,4,N,,,1,True,1.0,,False,False,True,False,,,40,,,,,,,,,
40,18,4,N,,,10,True,1.0,,False,False,True,False,,,51,,,,,,,,,
41,18,4,N,,,2,False,1.0,,False,False,False,False,,,42,,,,,,,,,
42,18,4,N,,,9,True,1.0,,False,False,True,False,,,48,,,,,,,,,
43,18,4,N,,,4,True,1.0,,False,False,True,False,,,43,,,,,,,,,
44,18,4,N,,,12,False,1.0,,False,False,False,False,,,53,,,,,,,,,
45,18,4,N,,,7,True,,,False,False,True,False,,,47,,,,,,,,,
46,18,4,N,,,14,True,,,False,False,True,False,,,55,,,,,,,,,
47,18,4,N,,,9,True,,,False,False,True,False,,,50,,,,,,,,,
48,18,4,N,,,17,True,1.0,,False,False,True,False,,,59,,,,,,,,,
49,18,4,N,,,3,True,1.0,,False,False,True,False,,,56,,,,,,,,,
50,18,4,N,,,2,False,1.0,,False,False,True,False,,,49,,,,,,,,,
51,18,4,N,,,5,True,1.0,,True,True,True,False,,,68,,,,,,,,,
52,18,4,N,,,19,True,,,False,False,True,False,,,41,,,,,,,,,
2,1,5,N,,,1,True,1.0,,False,True,True,False,,,69,,,,,,,,,
2,4,5,N,,,2,True,1.0,,False,True,True,False,,,84,,,,,,,,,
2,16,5,N,,,3,False,1.0,,False,False,False,False,,,91,,,,,,,,,
2,18,5,N,,,4,False,,,False,False,False,False,,,138,,,,,,,,,
8,1,5,N,,,1,True,1.0,,False,True,True,False,,,70,,,,,,,,,
8,4,5,N,,,2,True,1.0,,False,True,True,False,,,83,,,,,,,,,
8,16,5,N,,,3,False,1.0,,False,False,True,False,,,92,,,,,,,,,
8,18,5,N,,,4,False,1.0,,False,False,False,False,,,136,,,,,,,,,
11,1,5,N,,,1,True,1.0,,False,True,True,False,,,72,,,,,,,,,
11,4,5,N,,,2,True,1.0,,False,True,True,False,,,81,,,,,,,,,
11,18,5,N,,,4,False,1.0,,False,False,False,False,,,137,,,,,,,,,
11,19,5,N,,,3,False,1.0,,False,False,True,True,,,116,,,,,,,,,
15,1,5,N,,,1,True,1.0,,False,True,True,False,,,71,,,,,,,,,
15,4,5,N,,,2,True,1.0,,False,True,True,False,,,82,,,,,,,,,
15,5,5,N,,,4,True,,,False,True,True,True,,,129,,,,,,,,,
15,18,5,N,,,5,False,,,False,False,False,False,,,139,,,,,,,,,
15,19,5,N,,,3,False,1.0,,False,False,True,True,,,117,,,,,,,,,
18,5,5,N,,,2,True,,,False,True,True,True,,,134,,,,,,,,,
18,18,5,N,,,4,False,,,False,False,False,False,,,144,,,,,,,,,
18,20,5,N,,,3,False,1.0,,False,False,True,True,,,118,,,,,,,,,
24,1,5,N,,,1,True,1.0,,False,True,True,False,,,73,,,,,,,,,
24,4,5,N,,,2,True,1.0,,False,True,True,False,,,80,,,,,,,,,
24,5,5,N,,,4,True,,,False,True,True,True,,,131,,,,,,,,,
24,17,5,N,,,3,False,1.0,,False,False,True,True,,,93,,,,,,,,,
24,18,5,N,,,5,False,,,False,False,False,False,,,141,,,,,,,,,
