IdMunicipio,NomeMunicipio,UF,CodigoIBGE
1,ABADIA DE GOIÁS,GO,5200050
2,ABADIA DOS DOURADOS,MG,3100104
3,ABADIÂNIA,GO,5200100
4,ABAETÉ,MG,3100203
5,ABAETETUBA,PA,1500107
6,ABAIARA,CE,2300101
7,ABAÍRA,BA,2900108
8,ABARÉ,BA,2900207
9,ABATIÁ,PR,4100103
10,ABDON BATISTA,SC,4200051
11,ABEL FIGUEIREDO,PA,1500131
12,ABELARDO LUZ,SC,4200101
13,ABRE CAMPO,MG,3100302
14,ABREU E LIMA,PE,2600054
15,ABREULÂNDIA,TO,1700251
16,ACAIACA,MG,3100401
17,AÇAILÂNDIA,MA,2100055
18,ACAJUTIBA,BA,2900306
19,ACARÁ,PA,1500206
20,ACARAPE,CE,2300150
21,ACARAÚ,CE,2300200
22,ACARI,RN,2400109
23,ACAUÃ,PI,2200053
24,ACEGUÁ,RS,4300034
25,ACOPIARA,CE,2300309
26,ACORIZAL,MT,5100102
27,ACRELÂNDIA,AC,1200013
28,ACREÚNA,GO,5200134
29,AÇU,RN,2400208
30,AÇUCENA,MG,3100500
31,ADAMANTINA,SP,3500105
32,ADELÂNDIA,GO,5200159
33,ADOLFO,SP,3500204
34,ADRIANÓPOLIS,PR,4100202
35,ADUSTINA,BA,2900355
36,AFOGADOS DA INGAZEIRA,PE,2600104
37,AFONSO BEZERRA,RN,2400307
38,AFONSO CLÁUDIO,ES,3200102
39,AFONSO CUNHA,MA,2100105
40,AFRÂNIO,PE,2600203
41,AFUÁ,PA,1500305
42,AGRESTINA,PE,2600302
43,AGRICOLÂNDIA,PI,2200103
44,AGROLÂNDIA,SC,4200200
45,AGRONÔMICA,SC,4200309
46,ÁGUA AZUL DO NORTE,PA,1500347
47,ÁGUA BOA,MG,3100609
48,ÁGUA BOA,MT,5100201
49,ÁGUA BRANCA,AL,2700102
50,ÁGUA BRANCA,PB,2500106
51,ÁGUA BRANCA,PI,2200202
52,ÁGUA CLARA,MS,5000203
53,ÁGUA COMPRIDA,MG,3100708
54,ÁGUA DOCE,SC,4200408
55,ÁGUA DOCE DO MARANHÃO,MA,2100154
56,ÁGUA DOCE DO NORTE,ES,3200169
57,ÁGUA FRIA,BA,2900405
58,ÁGUA FRIA DE GOIÁS,GO,5200175
59,ÁGUA LIMPA,GO,5200209
60,ÁGUA NOVA,RN,2400406
61,ÁGUA PRETA,PE,2600401
62,ÁGUA SANTA,RS,4300059
63,AGUAÍ,SP,3500303
64,AGUANIL,MG,3100807
65,ÁGUAS BELAS,PE,2600500
66,ÁGUAS DA PRATA,SP,3500402
67,ÁGUAS DE CHAPECÓ,SC,4200507
68,ÁGUAS DE LINDÓIA,SP,3500501
69,ÁGUAS DE SANTA BÁRBARA,SP,3500550
70,ÁGUAS DE SÃO PEDRO,SP,3500600
71,ÁGUAS FORMOSAS,MG,3100906
72,ÁGUAS FRIAS,SC,4200556
73,ÁGUAS LINDAS DE GOIÁS,GO,5200258
74,ÁGUAS MORNAS,SC,4200606
75,ÁGUAS VERMELHAS,MG,3101003
76,AGUDO,RS,4300109
77,AGUDOS,SP,3500709
78,AGUDOS DO SUL,PR,4100301
79,ÁGUIA BRANCA,ES,3200136
80,AGUIAR,PB,2500205
81,AGUIARNÓPOLIS,TO,1700301
82,AIMORÉS,MG,3101102
83,AIQUARA,BA,2900603
84,AIUABA,CE,2300408
85,AIURUOCA,MG,3101201
86,AJURICABA,RS,4300208
87,ALAGOA,MG,3101300
88,ALAGOA GRANDE,PB,2500304
89,ALAGOA NOVA,PB,2500403
90,ALAGOINHA,PE,2600609
91,ALAGOINHA,PB,2500502
92,ALAGOINHA DO PIAUÍ,PI,2200251
93,ALAGOINHAS,BA,2900702
94,ALAMBARI,SP,3500758
95,ALBERTINA,MG,3101409
96,ALCÂNTARA,MA,2100204
97,ALCÂNTARAS,CE,2300507
98,ALCANTIL,PB,2500536
