IdAluno,IdAlunoObs,IdTipoOcorrencia,StImpedimento,DataOcorrencia,IdUsuarioRegistro,ObservacaoRegistro,DataLiberacao,IdUsuarioLiberacao,ObservacaoLiberacao,DataInclusao,StExibirInternet,IdProfessorRegistro,DataInicialAtestado,DataFinalAtestado
2,1,10,False,2021-07-26 00:00:00,13,O aluno tem dificuldades com o horário,,,,2021-07-26 19:30:00,False,,,
145,2,12,False,2021-08-18 00:00:00,15,"Aluno foi transferido da Turma 4A para a 4F, pois iniciou o curso de Programação em Java na USP",,,,2021-08-18 15:19:00,True,,,
146,3,12,False,2021-08-18 00:00:00,15,"Aluno foi transferido da Turma 4G para a 4F, pois iniciou o curso PAIDEIA na USP",,,,2021-08-18 15:20:00,False,,,
456,4,12,False,2021-08-24 00:00:00,15,Transferido da 2C para a 2J  devido a mudança no horário da escola.,,,,2021-08-24 17:01:00,True,,,
119,5,12,False,2021-08-24 00:00:00,15,"Aluna já estava assistindo as aulas da turma 5A, porem estava matriculada na 5F",,,,2021-08-24 17:10:00,True,,,
444,6,13,False,2021-08-24 00:00:00,15,Aluna retornou as aulas presenciais na escola e os horários coincidem com o da Passos.,,,,2021-08-24 19:56:00,True,,,
152,7,13,False,2021-08-31 00:00:00,15,Aluno desativado pois desistiu de fazer parte da ONG. Já recebeu forms de desistência.,,,,2021-08-31 13:46:00,True,,,
352,8,12,False,2021-08-31 00:00:00,14,Transferida da 3R para a 3J  por ter ganhado bolsa no Colégio União,,,,2021-08-31 16:33:00,True,,,
377,10,13,False,2021-09-02 00:00:00,15,Aluna desistiu pois mudou de cidade.,,,,2021-09-02 15:27:00,True,,,
206,11,11,False,2021-08-25 00:00:00,15,Transferida da 2B para a 1B. Downgrade de fase pois aluna está sofrendo com ansiedade.,,,,2021-09-02 15:37:00,True,,,
624,12,12,False,2021-09-08 00:00:00,15,Transferida da Alfa K para a Alfa Q  a pedido da professora Adriana,,,,2021-09-08 14:19:00,True,,,
626,13,12,False,2021-09-08 00:00:00,15,Transferida da Alfa K para a Alfa Q  a pedido da professora Adriana,,,,2021-09-08 14:20:00,False,,,
628,14,12,False,2021-09-08 00:00:00,15,Transferido da Alfa K para a Alfa Q  a pedido da professora Adriana,,,,2021-09-08 14:21:00,True,,,
636,15,12,False,2021-09-08 00:00:00,15,Transferida da Alfa K para a Alfa Q  a pedido da professora Adriana,,,,2021-09-08 14:22:00,True,,,
703,16,12,False,2021-09-08 00:00:00,15,Transferida da Alfa N para a Alfa P  a pedido da professora Adriana,,,,2021-09-08 14:26:00,True,,,
710,17,12,False,2021-09-08 00:00:00,15,Transferido da Alfa N para a Alfa S a pedido da professora Adriana,,,,2021-09-08 14:31:00,True,,,
709,18,12,False,2021-09-08 00:00:00,15,Transferida da Alfa N para a Alfa S  a pedido da professora Adriana,,,,2021-09-08 14:32:00,True,,,
708,19,12,False,2021-09-08 00:00:00,15,Transferido da Alfa N para a Alfa S a pedido da professora Adriana,,,,2021-09-08 14:33:00,True,,,
706,20,12,False,2021-09-08 00:00:00,15,Transferido da Alfa N para a Alfa S a pedido da professora Adriana,,,,2021-09-08 14:34:00,True,,,
611,21,13,False,2021-09-08 00:00:00,14,"O aluno estuda em período integral e ainda faz aulas particulares a parte, não está conseguindo conciliar.",,,,2021-09-08 16:19:00,True,,,
132,22,13,False,2021-09-14 00:00:00,14,Não consegue mais conciliar os estudos,,,,2021-09-14 15:57:00,True,,,
425,23,13,False,2021-09-14 00:00:00,14,Não consegue conciliar os estudos,,,,2021-09-14 16:02:00,True,,,
498,24,12,False,2021-09-15 00:00:00,15,Aluna cuida da irmã e não conseguia assistir as aulas no horário da turma 3F.,,,,2021-09-15 19:45:00,True,,,
71,25,13,False,2021-09-15 00:00:00,15,Aluno desistiu do Programa Vem Ser e por trabalhar também deixou de assistir as aulas na ONG.,,,,2021-09-15 19:57:00,True,,,
541,26,13,False,2021-09-15 00:00:00,15,Aluno não possuía mais interesse nas aulas.,,,,2021-09-15 20:00:00,True,,,
390,27,13,False,2021-09-16 00:00:00,15,"Aluna tem várias atividades na escola que passaram a coincidir com as aulas da Passos, por isso a mãe optou por tira-la do Projeto.",,,,2021-09-16 15:17:00,True,,,
581,28,13,False,2021-09-17 00:00:00,15,Aluna desativada a pedido do professor Márcio devido ter muitas faltas.,,,,2021-09-17 13:44:00,True,,,
795,29,13,False,2021-09-20 00:00:00,14,A tia do aluno informou que ele está fazendo outro curso no horário das aulas da Passos e por isso optou que ele fosso desligado,,,,2021-09-20 12:12:00,True,,,
275,30,12,False,2021-09-27 00:00:00,16,Aluna transferida de turma pois está estudando no período da manhã na escola e precisa estudar na Passos no período da tarde.,,,,2021-09-27 14:59:00,False,,,
595,31,12,False,2021-09-28 00:00:00,15,"Transferida da Alfa I para Alfa K, a pedido da professora Adriana, pois aluna mudou de cidade e quer continuar nas aulas até o final do ano.",,,,2021-09-28 13:52:00,True,,,
517,32,12,False,2021-09-28 00:00:00,16,Transferido da 1J para a 1R  por conta do horário na escola.,,,,2021-09-28 15:47:00,False,,,
498,33,13,False,2021-09-28 00:00:00,16,"A aluna não participa das aulas, tentamos de diversas formas a participação dela , porém a mesma não se comprometeu.",,,,2021-09-28 19:17:00,False,,,
778,34,13,False,2021-09-29 00:00:00,16,"A aluna entrou em contato com o professor Anderson, informando que estava desistindo da vaga.",,,,2021-09-29 15:59:00,False,,,
712,35,12,False,2021-09-30 00:00:00,16,Transferida da ALFA N para a ALFA k   por conta  do horário das aulas na  escola,,,,2021-09-30 17:23:00,False,,,
490,36,12,False,2021-09-30 00:00:00,16,Transferido da 1M para a 1J  por conta do horário da escola,,,,2021-09-30 17:53:00,False,,,
236,37,12,False,2021-08-06 00:00:00,15,Transferido da Turma 2M para a 2N devido a mudança de escola.,,,,2021-10-04 20:06:00,True,,,
760,38,12,False,2021-10-05 00:00:00,16,Transferida da Alfa P para a Alfa R  por conta do horário em que ela está estudando na escola,,,,2021-10-05 15:16:00,False,,,
324,39,12,False,2021-10-05 00:00:00,16,Transferida da 3A para a 3D  por conta do horário das aulas na escola,,,,2021-10-05 15:45:00,False,,,
289,40,12,False,2021-10-05 00:00:00,16,Transferida da 2F para a 2E por conta dos horário das aulas na escola,,,,2021-10-05 19:32:00,False,,,
431,41,12,False,2021-10-05 00:00:00,16,Transferida da 3J para a 3M   por conta do horário das aulas na escola.,,,,2021-10-05 19:45:00,False,,,
725,42,12,False,2021-10-05 00:00:00,16,"Transferido da 3B para a 3M,  por conta do horário das aulas na escola",,,,2021-10-05 19:56:00,False,,,
547,43,12,False,2021-10-06 00:00:00,16,Transferido da 1N para a 1B  por conta do horário das aulas na escola,,,,2021-10-06 15:56:00,False,,,
683,44,12,False,2021-10-06 00:00:00,16,Transferida da Alfa O para a Alfa R  por conta do horário das aulas na escola,,,,2021-10-06 16:44:00,False,,,
23,45,13,False,2021-10-11 00:00:00,16,Aluno desistiu da vaga,,,,2021-10-11 16:09:00,False,,,
174,46,12,False,2021-10-13 00:00:00,16,Transferida da 4E para a 4F por conta do horário de estudo na escola,,,,2021-10-13 14:21:00,False,,,
527,47,12,False,2021-10-13 00:00:00,16,Transferido da 3D para a 3A por conta do horário da escola,,,,2021-10-13 15:12:00,False,,,
476,48,12,False,2021-10-18 00:00:00,16,"Transferido da 1J para a 1C, por conta do horário na escola",,,,2021-10-18 16:37:00,False,,,
275,49,12,False,2021-10-18 00:00:00,16,Transferida da 2L para a 2K por conta do horário das aulas na escola,,,,2021-10-18 16:50:00,False,,,
172,50,12,False,2021-10-18 00:00:00,16,Transferida da 4A para a 4E por conta do horário das aulas na escola,,,,2021-10-18 17:08:00,False,,,
445,51,12,False,2021-10-18 00:00:00,16,Transferida da 1F para a 1C por conta do horário de aula na escola,,,,2021-10-18 17:59:00,False,,,
737,52,12,False,2021-10-18 00:00:00,16,Transferido da 2F para a 2C por conta do horário de estudo na escola,,,,2021-10-18 18:10:00,False,,,
791,53,11,False,2021-10-18 00:00:00,16,Aluno não realizou a prova e nem a entrevista com a Sandra e foi matriculado erroneamente na turma 1R ...Fez downgrade para Alfa K,,,,2021-10-18 18:45:00,False,,,
119,54,12,False,2021-10-18 00:00:00,16,"Transferida da 5A para a 5F 
Por conta do horário da escola, terá que acompanhar as aulas do Sacode a Poeira na 4F",,,,2021-10-18 19:50:00,False,,,
630,56,12,False,2021-07-28 00:00:00,15,"A pedido da professora Adriana, aluno transferido da Alfa T para a Alfa J.",,,,2021-10-19 13:50:00,False,,,
208,58,12,False,2021-10-19 00:00:00,16,Transferido da 2B para a 2C por conta do horário das aulas na escola,,,,2021-10-19 15:16:00,False,,,
629,59,12,False,2021-10-19 00:00:00,16,Transferida da 2E para a 2F por conta do horário das aulas na escola,,,,2021-10-19 15:24:00,False,,,
