IdTurma,IdAluno,IdSituacaoAlunoTurma,DataSituacaoAtivo,DataSituacaoInativo,IdFaseNotaInicial,OrdemChamada,DataHoraEfetivacaoMatricula,IdUsuarioEfetivacaoMatricula,IdAlunoCursoSuperior,ProblemaAutorizadoMatricula,IdUsuarioAutorizacaoMatricula,StAlunoTurmaNaoPermitePParcial,ES_IdCurriculoOptativa,IdResponsavelFinanceiro,IdTipoResponsavelFinanceiro,IdResponsavelSecundario,IdTipoResponsavelSecundario,IdMotivoInativacao,IdEstabEnsinoInativacao,ComentarioInativacao,Comentario,IdPlanoPagamento_PreMatricula,IdPlanoPagamento_Matricula,SituacaoExcecao_IdSituacaoAlunoTurma,SituacaoExcecao_IdUsuario,SituacaoExcecao_DataRegistro,SituacaoExcecao_Comentario,IdAlunoCurso,IdEventoTipoInscricao,RMOnline_TextoPersonalizado_Confirmacao,StProcessamento_FichaInscricao,StProcessamento_ConfirmacaoReservaOnline,StProcessamento_InscricaoEmTurma,IdAlunoTurma
106,3,9,2021-01-01 00:00:00,2021-12-31 00:00:00,,3,2021-07-30 00:00:00,,,,,False,,5,11,,,,,,,,8,,,,,,,,,,,3
113,5,9,2021-01-01 00:00:00,2021-12-31 00:00:00,,1,2021-07-30 00:00:00,,,,,False,,7,11,,,,,,,,8,,,,,,,,,,,4
113,6,9,2021-01-01 00:00:00,2021-12-31 00:00:00,,2,2021-07-30 00:00:00,,,,,False,,8,11,,,,,,,,8,,,,,,,,,,,5
106,4,9,2021-01-01 00:00:00,2021-12-31 00:00:00,,4,2021-07-30 00:00:00,,,,,False,,6,11,,,,,,,,8,,,,,,,,,,,6
113,7,9,2021-01-01 00:00:00,2021-12-31 00:00:00,,4,2021-07-30 00:00:00,,,,,False,,9,11,,,,,,,,8,,,,,,,,,,,7
113,9,9,2021-01-01 00:00:00,2021-12-31 00:00:00,,5,2021-07-30 00:00:00,,,#PROCEDIMENTO_MATRICULA_SERIE#,,False,,11,11,,,,,,,,8,,,,,,,,,,,8
106,8,9,2021-01-01 00:00:00,2021-12-31 00:00:00,,6,2021-07-30 00:00:00,,,,,False,,10,11,,,,,,,,8,,,,,,,,,,,9
113,10,9,2021-01-01 00:00:00,2021-12-31 00:00:00,,6,2021-07-30 00:00:00,,,,,False,,12,11,,,,,,,,8,,,,,,,,,,,10
113,11,9,2021-01-01 00:00:00,2021-12-31 00:00:00,,7,2021-07-30 00:00:00,,,,,False,,13,11,,,,,,,,8,,,,,,,,,,,11
113,13,9,2021-01-01 00:00:00,2021-12-31 00:00:00,,8,2021-07-30 00:00:00,,,,,False,,15,11,,,,,,,,8,,,,,,,,,,,12
113,14,9,2021-01-01 00:00:00,2021-12-31 00:00:00,,9,2021-07-30 00:00:00,,,,,False,,16,11,,,,,,,,8,,,,,,,,,,,13
106,15,9,2021-01-01 00:00:00,2021-12-31 00:00:00,,8,2021-07-30 00:00:00,,,,,False,,17,11,,,,,,,,8,,,,,,,,,,,14
113,16,9,2021-01-01 00:00:00,2021-12-31 00:00:00,,10,2021-07-30 00:00:00,,,,,False,,18,11,,,,,,,,8,,,,,,,,,,,15
106,12,9,2021-01-01 00:00:00,2021-12-31 00:00:00,,7,2021-07-30 00:00:00,,,,,False,,14,11,,,,,,,,8,,,,,,,,,,,16
106,17,9,2021-01-01 00:00:00,2021-12-31 00:00:00,,9,2021-07-30 00:00:00,,,,,False,,19,11,,,,,,,,8,,,,,,,,,,,17
107,25,9,2021-01-01 00:00:00,2021-12-31 00:00:00,,1,2021-08-02 00:00:00,,,,,False,,27,11,,,,,,,,8,,,,,,,,,,,25
107,26,9,2021-01-01 00:00:00,2021-12-31 00:00:00,,3,2021-08-02 00:00:00,,,,,False,,28,11,,,,,,,,8,,,,,,,,,,,26
107,27,9,2021-01-01 00:00:00,2021-12-31 00:00:00,,4,2021-08-02 00:00:00,,,,,False,,29,11,,,,,,,,8,,,,,,,,,,,27
107,28,9,2021-01-01 00:00:00,2021-12-31 00:00:00,,5,2021-08-02 00:00:00,,,,,False,,13,11,,,,,,,,8,,,,,,,,,,,28
107,29,9,2021-01-01 00:00:00,2021-12-31 00:00:00,,6,2021-08-02 00:00:00,,,,,False,,30,11,,,,,,,,8,,,,,,,,,,,29
107,30,9,2021-01-01 00:00:00,2021-12-31 00:00:00,,7,2021-08-02 00:00:00,,,,,False,,31,11,,,,,,,,8,,,,,,,,,,,30
107,31,9,2021-01-01 00:00:00,2021-12-31 00:00:00,,10,2021-08-02 00:00:00,,,,,False,,32,11,,,,,,,,8,,,,,,,,,,,31
107,32,9,2021-01-01 00:00:00,2021-12-31 00:00:00,,11,2021-08-02 00:00:00,,,,,False,,33,11,,,,,,,,8,,,,,,,,,,,32
117,33,9,2021-01-01 00:00:00,2021-12-31 00:00:00,,2,2021-08-02 00:00:00,,,,,False,,34,11,,,,,,,,8,,,,,,,,,,,33
117,36,9,2021-01-01 00:00:00,2021-12-31 00:00:00,,3,2021-08-02 00:00:00,,,,,False,,36,11,,,,,,,,8,,,,,,,,,,,36
117,37,9,2021-01-01 00:00:00,2021-12-31 00:00:00,,4,2021-08-02 00:00:00,,,,,False,,37,11,,,,,,,,8,,,,,,,,,,,37
117,38,9,2021-01-01 00:00:00,2021-12-31 00:00:00,,5,2021-08-02 00:00:00,,,,,False,,38,11,,,,,,,,8,,,,,,,,,,,38
117,39,9,2021-01-01 00:00:00,2021-12-31 00:00:00,,6,2021-08-02 00:00:00,,,,,False,,39,11,,,,,,,,8,,,,,,,,,,,39
117,40,9,2021-01-01 00:00:00,2021-12-31 00:00:00,,7,2021-08-02 00:00:00,,,,,False,,40,11,,,,,,,,8,,,,,,,,,,,40
117,41,9,2021-01-01 00:00:00,2021-12-31 00:00:00,,8,2021-08-02 00:00:00,,,,,False,,41,11,,,,,,,,8,,,,,,,,,,,41
117,42,9,2021-01-01 00:00:00,2021-12-31 00:00:00,,10,2021-08-02 00:00:00,,,,,False,,42,11,,,,,,,,8,,,,,,,,,,,42
117,43,9,2021-01-01 00:00:00,2021-12-31 00:00:00,,11,2021-08-02 00:00:00,,,,,False,,43,11,,,,,,,,8,,,,,,,,,,,43
115,51,9,2021-01-01 00:00:00,2021-12-31 00:00:00,,1,2021-08-02 00:00:00,,,,,False,,51,11,,,,,,,,8,,,,,,,,,,,51
115,52,9,2021-01-01 00:00:00,2021-12-31 00:00:00,,2,2021-08-02 00:00:00,,,,,False,,52,11,,,,,,,,8,,,,,,,,,,,52
115,53,9,2021-01-01 00:00:00,2021-12-31 00:00:00,,3,2021-08-02 00:00:00,,,,,False,,53,11,,,,,,,,8,,,,,,,,,,,53
115,54,9,2021-01-01 00:00:00,2021-12-31 00:00:00,,4,2021-08-02 00:00:00,,,,,False,,54,11,,,,,,,,8,,,,,,,,,,,54
115,55,9,2021-01-01 00:00:00,2021-12-31 00:00:00,,5,2021-08-02 00:00:00,,,,,False,,55,11,,,,,,,,8,,,,,,,,,,,55
115,56,9,2021-01-01 00:00:00,2021-12-31 00:00:00,,7,2021-08-02 00:00:00,,,,,False,,56,11,,,,,,,,8,,,,,,,,,,,56
115,57,9,2021-01-01 00:00:00,2021-12-31 00:00:00,,8,2021-08-02 00:00:00,,,,,False,,57,11,,,,,,,,8,,,,,,,,,,,57
115,58,9,2021-01-01 00:00:00,2021-12-31 00:00:00,,9,2021-08-02 00:00:00,,,,,False,,58,11,,,,,,,,8,,,,,,,,,,,58
115,59,9,2021-01-01 00:00:00,2021-12-31 00:00:00,,10,2021-08-02 00:00:00,,,,,False,,59,11,,,,,,,,8,,,,,,,,,,,59
115,60,9,2021-01-01 00:00:00,2021-12-31 00:00:00,,11,2021-08-02 00:00:00,,,,,False,,32,11,,,,,,,,8,,,,,,,,,,,60
115,61,9,2021-01-01 00:00:00,2021-12-31 00:00:00,,12,2021-08-02 00:00:00,,,,,False,,60,11,,,,,,,,8,,,,,,,,,,,61
115,62,9,2021-01-01 00:00:00,2021-12-31 00:00:00,,13,2021-08-02 00:00:00,,,,,False,,61,11,,,,,,,,8,,,,,,,,,,,62
115,63,9,2021-01-01 00:00:00,2021-12-31 00:00:00,,14,2021-08-02 00:00:00,,,,,False,,62,11,,,,,,,,8,,,,,,,,,,,63
115,64,9,2021-01-01 00:00:00,2021-12-31 00:00:00,,15,2021-08-02 00:00:00,,,,,False,,63,11,,,,,,,,8,,,,,,,,,,,64
115,65,9,2021-01-01 00:00:00,2021-12-31 00:00:00,,16,2021-08-02 00:00:00,,,,,False,,64,11,,,,,,,,8,,,,,,,,,,,65
115,66,9,2021-01-01 00:00:00,2021-12-31 00:00:00,,17,2021-08-02 00:00:00,,,,,False,,65,11,,,,,,,,8,,,,,,,,,,,66
115,67,9,2021-01-01 00:00:00,2021-12-31 00:00:00,,18,2021-08-02 00:00:00,,,,,False,,66,11,,,,,,,,8,,,,,,,,,,,67
117,68,9,2021-01-01 00:00:00,2021-12-31 00:00:00,,12,2021-08-03 00:00:00,,,,,False,,67,11,,,,,,,,8,,,,,,,,,,,68
117,69,9,2021-01-01 00:00:00,2021-12-31 00:00:00,,13,2021-08-03 00:00:00,,,,,False,,68,11,,,,,,,,8,,,,,,,,,,,69
117,70,9,2021-01-01 00:00:00,2021-12-31 00:00:00,,15,2021-08-03 00:00:00,,,,,False,,69,11,,,,,,,,8,,,,,,,,,,,70
117,71,14,2021-01-01 00:00:00,2021-09-15 00:00:00,,21,2021-08-03 00:00:00,,,,,False,,70,11,,,7,,,,,8,,,,,,,,,,,71
117,72,9,2021-01-01 00:00:00,2021-12-31 00:00:00,,16,2021-08-03 00:00:00,,,,,False,,71,11,,,,,,,,8,,,,,,,,,,,72
117,73,9,2021-01-01 00:00:00,2021-12-31 00:00:00,,17,2021-08-03 00:00:00,,,,,False,,72,11,,,,,,,,8,,,,,,,,,,,73
117,74,9,2021-01-01 00:00:00,2021-12-31 00:00:00,,18,2021-08-03 00:00:00,,,#LIMITE_VAGAS_TURMA#,14,False,,73,11,,,,,,,,8,,,,,,,,,,,74
117,75,9,2021-01-01 00:00:00,2021-12-31 00:00:00,,19,2021-08-03 00:00:00,,,#LIMITE_VAGAS_TURMA#,14,False,,74,11,,,,,,,,8,,,,,,,,,,,75
117,76,9,2021-01-01 00:00:00,2021-12-31 00:00:00,,20,2021-08-03 00:00:00,,,#LIMITE_VAGAS_TURMA#,14,False,,75,11,,,,,,,,8,,,,,,,,,,,76
118,77,9,2021-01-01 00:00:00,2021-12-31 00:00:00,,1,2021-08-03 00:00:00,,,,,False,,76,11,,,,,,,,8,,,,,,,,,,,77
118,78,9,2021-01-01 00:00:00,2021-12-31 00:00:00,,3,2021-08-03 00:00:00,,,,,False,,77,11,,,,,,,,8,,,,,,,,,,,78
118,79,9,2021-01-01 00:00:00,2021-12-31 00:00:00,,4,2021-08-03 00:00:00,,,,,False,,78,11,,,,,,,,8,,,,,,,,,,,79
115,80,9,2021-01-01 00:00:00,2021-12-31 00:00:00,,21,2021-08-03 00:00:00,,,,,False,,79,11,,,,,,,,8,,,,,,,,,,,80
115,81,9,2021-01-01 00:00:00,2021-12-31 00:00:00,,22,2021-08-03 00:00:00,,,#PROCEDIMENTO_MATRICULA_SERIE#,,False,,80,11,,,,,,,,8,,,,,,,,,,,81
115,82,9,2021-01-01 00:00:00,2021-12-31 00:00:00,,23,2021-08-03 00:00:00,,,,,False,,81,11,,,,,,,,8,,,,,,,,,,,82
115,83,9,2021-01-01 00:00:00,2021-12-31 00:00:00,,24,2021-08-03 00:00:00,,,,,False,,82,11,,,,,,,,8,,,,,,,,,,,83
115,84,9,2021-01-01 00:00:00,2021-12-31 00:00:00,,25,2021-08-03 00:00:00,,,,,False,,83,11,,,,,,,,8,,,,,,,,,,,84
115,85,9,2021-01-01 00:00:00,2021-12-31 00:00:00,,20,2021-08-03 00:00:00,,,,,False,,84,11,,,,,,,,8,,,,,,,,,,,85
118,91,9,2021-01-01 00:00:00,2021-12-31 00:00:00,,5,2021-08-04 00:00:00,,,,,False,,90,11,,,,,,,,8,,,,,,,,,,,89
118,90,9,2021-01-01 00:00:00,2021-12-31 00:00:00,,2,2021-08-04 00:00:00,,,,,False,,89,11,,,,,,,,8,,,,,,,,,,,90
117,89,9,2021-01-01 00:00:00,2021-12-31 00:00:00,,14,2021-08-04 00:00:00,,,#LIMITE_VAGAS_TURMA#,14,False,,88,11,,,,,,,,8,,,,,,,,,,,91
119,92,9,2021-01-01 00:00:00,2021-12-31 00:00:00,,2,2021-08-05 00:00:00,,,,,False,,91,11,,,,,,,,8,,,,,,,,,,,92
119,93,9,2021-01-01 00:00:00,2021-12-31 00:00:00,,4,2021-08-05 00:00:00,,,,,False,,92,11,,,,,,,,8,,,,,,,,,,,93
119,94,9,2021-01-01 00:00:00,2021-12-31 00:00:00,,5,2021-08-05 00:00:00,,,,,False,,93,11,,,,,,,,8,,,,,,,,,,,94
119,95,9,2021-01-01 00:00:00,2021-12-31 00:00:00,,6,2021-08-05 00:00:00,,,,,False,,94,11,,,,,,,,8,,,,,,,,,,,95
119,96,9,2021-01-01 00:00:00,2021-12-31 00:00:00,,8,2021-08-05 00:00:00,,,,,False,,95,11,,,,,,,,8,,,,,,,,,,,96
119,97,9,2021-01-01 00:00:00,2021-12-31 00:00:00,,11,2021-08-05 00:00:00,,,,,False,,75,11,,,,,,,,8,,,,,,,,,,,97
119,111,9,2021-01-01 00:00:00,2021-12-31 00:00:00,,12,2021-08-05 00:00:00,,,,,False,,64,11,,,,,,,,8,,,,,,,,,,,98
119,98,9,2021-01-01 00:00:00,2021-12-31 00:00:00,,14,2021-08-05 00:00:00,,,,,False,,97,11,,,,,,,,8,,,,,,,,,,,99
119,99,9,2021-01-01 00:00:00,2021-12-31 00:00:00,,3,2021-08-05 00:00:00,,,,,False,,98,11,,,,,,,,8,,,,,,,,,,,100
111,102,9,2021-01-01 00:00:00,2021-12-31 00:00:00,,9,2021-08-05 00:00:00,,,,,False,,101,11,,,,,,,,8,,,,,,,,,,,103
