IdAluno,DataOcorrencia,IdTurma,IdSituacaoAlunoTurma,IdFaseNotaInicial,IdUsuario
1,2022-02-14 14:21:16.343000,275,1.0,,299
1,2022-02-21 17:14:02.880000,275,,,299
2,2020-06-23 09:23:28.770000,35,1.0,,11
2,2021-07-21 16:57:05.170000,53,1.0,,13
2,2021-07-22 16:33:40.257000,53,9.0,,13
2,2021-07-23 10:46:15.973000,53,1.0,,13
2,2021-07-23 10:58:42.890000,53,9.0,,13
2,2021-07-23 11:01:14.333000,53,1.0,,13
2,2021-07-23 11:01:55.203000,53,9.0,,13
2,2021-07-23 11:04:37.080000,53,1.0,,13
2,2021-07-23 11:05:47.163000,53,9.0,,13
2,2021-07-23 14:58:50.133000,53,1.0,,13
2,2021-07-29 15:29:41.150000,35,,,13
2,2021-07-29 15:34:07.727000,53,14.0,,13
2,2021-09-01 12:09:11.790000,53,,,15
2,2021-09-10 10:55:10.283000,52,1.0,,13
2,2021-09-10 11:41:32.267000,52,9.0,,13
2,2021-09-10 11:41:57.440000,52,,,13
2,2021-09-10 11:42:58.327000,53,1.0,,13
2,2021-09-10 14:48:19.270000,53,,,13
2,2021-12-21 16:49:32.873000,147,1.0,,299
2,2022-01-11 16:44:06.867000,147,,,13
2,2022-01-11 16:44:39.077000,185,1.0,,13
2,2022-01-11 16:53:29.560000,234,1.0,,13
2,2022-01-25 17:50:54.273000,185,,,15
2,2022-01-25 17:51:30.173000,234,4.0,,15
2,2022-01-26 17:14:47.733000,235,1.0,,299
2,2022-01-26 17:15:49.697000,235,9.0,,299
2,2022-01-26 17:16:07.773000,235,1.0,,299
2,2022-01-26 17:17:13.447000,235,10.0,,299
2,2022-02-08 15:21:34.593000,234,1.0,,299
2,2022-02-08 15:43:32.920000,275,1.0,,299
2,2022-02-14 15:37:07.910000,275,,,299
2,2022-02-14 15:39:41.823000,234,,,299
2,2022-02-14 15:43:34.543000,249,1.0,,299
2,2022-02-14 16:55:04.137000,275,1.0,,299
2,2022-02-21 17:12:25.013000,275,,,299
2,2022-02-21 17:12:48.487000,249,,,299
2,2022-04-27 17:31:58.583000,235,1.0,,299
2,2022-04-27 17:33:01.760000,217,1.0,,299
2,2022-04-27 17:35:04.610000,235,14.0,,299
2,2022-04-27 17:36:18.357000,217,14.0,,299
2,2022-11-11 15:26:07.323000,414,5.0,,299
2,2023-01-18 15:06:14.683000,501,1.0,,299
2,2023-02-06 14:51:47.353000,501,,,15
2,2023-02-06 14:52:13.537000,414,,,15
2,2023-02-06 14:52:58.317000,505,1.0,,15
2,2023-02-06 14:54:39.137000,530,1.0,,15
2,2023-02-06 14:55:41.477000,574,1.0,,15
2,2023-02-06 15:24:47.447000,530,9.0,,15
2,2023-02-06 15:26:38.600000,574,10.0,,299
2,2023-02-06 15:28:50.207000,574,1.0,,299
2,2023-02-06 15:29:41.080000,574,10.0,,15
2,2023-02-06 15:30:52.570000,574,1.0,,299
2,2023-02-06 15:32:40.317000,574,10.0,,15
2,2023-02-06 15:35:54.097000,574,1.0,,15
2,2023-02-06 15:36:08.327000,574,10.0,,15
2,2023-02-06 15:36:36.463000,574,1.0,,299
2,2023-02-06 15:36:42.457000,574,10.0,,299
2,2023-02-06 15:37:09.613000,574,1.0,,299
2,2023-02-06 15:37:23.323000,574,10.0,,299
2,2023-02-06 15:38:15.253000,574,1.0,,299
2,2023-02-06 15:39:48.527000,574,10.0,,15
2,2023-02-06 15:40:25.320000,574,1.0,,299
2,2023-02-06 15:41:43.817000,574,10.0,,299
2,2023-02-06 15:43:55.770000,574,1.0,,299
2,2023-02-06 15:44:20.640000,574,10.0,,299
2,2023-02-06 15:44:24.463000,574,1.0,,299
2,2023-02-06 15:44:35.200000,574,10.0,,299
2,2023-02-07 10:07:14.943000,574,1.0,,299
2,2023-02-07 10:09:37.423000,574,9.0,,299
2,2023-02-07 10:09:39.147000,505,9.0,,299
2,2023-02-28 16:07:50.957000,574,,,15
2,2023-03-10 17:22:54.393000,505,1.0,,299
2,2023-03-17 14:06:32.663000,505,,,299
2,2023-03-17 14:06:32.893000,506,1.0,,299
2,2023-03-17 14:09:55.863000,506,,,299
2,2023-03-17 14:09:56.647000,505,1.0,,299
2,2023-04-04 17:01:09.007000,505,14.0,,15
2,2023-05-08 14:51:07.750000,466,1.0,,15
2,2023-05-15 17:21:19.140000,466,14.0,,15
2,2023-05-30 17:33:23.933000,530,1.0,,15
2,2023-08-10 16:39:32.343000,530,9.0,,322
2,2023-08-15 15:09:11.203000,530,1.0,,322
2,2023-11-06 18:00:34.183000,530,14.0,,15
3,2021-07-30 18:22:29.583000,106,1.0,,15
3,2021-09-22 11:55:47.573000,142,1.0,,14
3,2021-12-28 15:13:53.303000,142,9.0,,15
3,2021-12-28 15:24:09.007000,106,9.0,,15
3,2022-01-20 17:03:38.363000,210,1.0,,16
3,2022-02-28 11:14:41.353000,303,1.0,,293
3,2022-08-08 08:01:49.627000,106,1.0,,299
3,2022-08-08 08:15:26.910000,106,9.0,,299
3,2023-01-30 16:10:25.263000,210,9.0,,15
3,2023-01-30 16:51:57.980000,303,9.0,,15
3,2023-01-30 22:48:33.927000,505,1.0,,297
3,2023-02-14 15:04:28.230000,590,1.0,,15
3,2023-02-27 17:47:30.837000,574,1.0,,15
3,2023-03-15 09:52:39.183000,590,14.0,,313
3,2023-03-15 09:52:59.060000,574,14.0,,313
3,2023-03-15 09:53:25.643000,505,14.0,,313
4,2021-07-30 18:46:26.160000,106,1.0,,14
4,2021-09-22 11:56:36.133000,142,1.0,,14
4,2021-12-28 15:13:53.687000,142,9.0,,15
4,2021-12-28 15:24:11.810000,106,9.0,,15
4,2022-01-20 19:18:34.667000,210,1.0,,15
4,2022-02-27 18:53:55.703000,300,1.0,,293
4,2022-03-09 17:38:52.037000,211,1.0,,15
4,2022-03-09 17:38:52.813000,210,,,15
4,2022-03-24 16:38:52.403000,440,1.0,,16
4,2022-08-08 08:01:53.510000,106,1.0,,299
4,2022-08-08 08:15:27.477000,106,9.0,,299
4,2023-01-30 16:10:41.167000,211,9.0,,15
4,2023-01-30 16:37:27.057000,440,9.0,,15
4,2023-01-30 16:51:49.150000,300,9.0,,15
4,2023-01-30 22:35:08.217000,505,1.0,,297
4,2023-01-30 22:35:41.817000,505,,,297
4,2023-01-30 22:36:37.160000,506,1.0,,297
4,2023-04-11 17:30:55.567000,506,,,15
4,2023-04-11 17:31:55.327000,528,1.0,,15
4,2024-01-16 14:29:35.450000,528,9.0,,15
4,2024-04-24 15:32:01.620000,682,1.0,,15
5,2021-07-30 18:39:24.260000,113,1.0,,16
5,2021-12-28 15:23:48.817000,113,9.0,,15
5,2022-02-02 16:42:39.693000,196,1.0,,16
5,2023-01-30 16:11:18.787000,196,9.0,,15
5,2023-03-21 19:41:28.993000,586,1.0,,15
5,2024-04-24 15:34:56.923000,586,19.0,,15
5,2024-04-24 15:35:26.427000,721,1.0,,15
6,2021-07-30 18:44:47.297000,113,1.0,,16
6,2021-12-28 15:23:52.127000,113,9.0,,15
7,2021-07-30 18:52:03.090000,113,1.0,,16
7,2021-12-28 15:24:10.960000,113,9.0,,15
7,2022-01-20 19:56:38.767000,196,1.0,,16
7,2023-01-30 16:11:22.390000,196,9.0,,15
7,2024-04-24 15:53:09.827000,721,1.0,,15
8,2021-07-30 19:03:03.893000,106,1.0,,14
8,2021-09-22 11:57:38.170000,142,1.0,,14
8,2021-12-28 15:13:54.307000,142,9.0,,15
8,2021-12-28 15:24:31.363000,106,9.0,,15
8,2022-01-20 09:24:32.273000,208,1.0,,16
8,2022-02-04 17:29:09.603000,208,,,15
8,2022-02-04 17:30:07.913000,210,1.0,,15
8,2022-02-28 11:19:30.287000,303,1.0,,293
8,2022-06-06 09:17:33.083000,303,14.0,,313
8,2022-06-06 09:18:26.963000,450,1.0,,313
8,2022-07-25 13:22:07.900000,450,14.0,,313
8,2022-07-25 13:53:50.217000,303,1.0,,15
8,2022-08-08 08:01:53.930000,106,1.0,,299
