IdDiario,IdTurma,IdDisciplina,Descricao,IdFaseNota,TipoConfirmacao,QtdeMaximaAulas,DataLimiteDigitacao,QtdeMinimaAulas,StRegistroAulaPeriodoFaseNota,DataBloqueioDigitacaoAula
6,53,4,Diário 2º Semestre,17,D,35,2021-12-31 00:00:00,30,True,
7,53,1,Diário 2º Semestre,17,D,35,2021-12-31 00:00:00,30,True,
8,53,16,Diário  2º Semestre,17,D,35,2021-12-31 00:00:00,30,True,
9,113,5,Diário 2º Semestre,65,D,35,2021-12-31 00:00:00,30,True,
10,106,5,Diário 2º Semestre,53,D,35,2021-12-31 00:00:00,30,True,
11,106,4,Diário 2º Semestre,53,D,35,2021-12-31 00:00:00,30,True,
12,106,1,Diário 2º Semestre,53,D,35,2021-12-31 00:00:00,30,True,
13,106,17,Diário 2º Semestre,53,D,35,2021-12-31 00:00:00,30,True,
14,113,20,Diário 2º Semestre,65,D,35,2021-12-31 00:00:00,30,True,
15,115,20,Diário 2º Semestre,65,D,35,2021-12-31 00:00:00,30,True,
16,115,5,Diário 2º Semestre,65,D,35,2021-12-31 00:00:00,30,True,
17,117,5,Diário 2º Semestre,59,D,35,2021-12-31 00:00:00,30,True,
18,117,4,Diário 2º Semestre,59,D,35,2021-12-31 00:00:00,30,True,
19,117,1,Diário 2º Semestre,59,D,35,2021-12-31 00:00:00,30,True,
20,117,17,Diário 2º Semestre,59,D,35,2021-12-31 00:00:00,30,True,
21,227,18,Diário 2º Semestre,69,D,35,2021-12-31 00:00:00,30,True,
22,119,5,Diário 2º Semestre,47,D,35,2021-12-31 00:00:00,30,True,
23,119,4,Diário 2º Semestre,47,D,35,2021-12-31 00:00:00,30,True,
24,119,1,Diário 2º Semestre,47,D,35,2021-12-31 00:00:00,30,True,
25,119,17,Diário 2º Semestre,47,D,35,2021-12-31 00:00:00,30,True,
26,111,5,Diário 2º Semestre,47,D,35,2021-12-31 00:00:00,30,True,
27,111,4,Diário 2º Semestre,47,D,35,2021-12-31 00:00:00,30,True,
