IdDiarioAluno,IdDiario,IdAluno,DataInicial,DataFinal
9,9,5,,
10,9,6,,
11,9,7,,
12,9,9,,
13,9,10,,
14,9,11,,
15,9,13,,
16,9,14,,
17,9,16,,
18,10,3,,
19,10,4,,
20,10,8,,
21,10,12,,
22,10,15,,
23,10,17,,
24,11,3,,
25,11,4,,
26,11,8,,
27,11,12,,
28,11,15,,
29,11,17,,
30,12,3,,
31,12,4,,
32,12,8,,
33,12,12,,
34,12,15,,
35,12,17,,
36,13,3,,
37,13,4,,
38,13,8,,
39,13,12,,
40,13,15,,
41,13,17,,
76,14,5,,
77,14,6,,
78,14,7,,
79,14,9,,
80,14,10,,
81,14,11,,
82,14,13,,
83,14,14,,
84,14,16,,
99,15,51,,
100,15,52,,
101,15,53,,
102,15,54,,
103,15,55,,
104,15,56,,
105,15,57,,
106,15,58,,
107,15,59,,
108,15,60,,
109,15,61,,
110,15,62,,
111,15,63,,
112,15,64,,
113,15,65,,
114,15,66,,
115,15,67,,
116,15,80,,
117,15,81,,
118,15,82,,
119,15,83,,
120,15,84,,
121,15,85,,
122,16,51,,
123,16,52,,
124,16,53,,
125,16,54,,
126,16,55,,
127,16,56,,
128,16,57,,
129,16,58,,
130,16,59,,
131,16,60,,
132,16,61,,
133,16,62,,
134,16,63,,
135,16,64,,
136,16,65,,
137,16,66,,
138,16,67,,
139,16,80,,
140,16,81,,
141,16,82,,
142,16,83,,
143,16,84,,
144,16,85,,
145,17,33,,
146,17,36,,
147,17,37,,
148,17,38,,
149,17,39,,
150,17,40,,
151,17,41,,
152,17,42,,
153,17,43,,
154,17,68,,
155,17,69,,
156,17,70,,
157,17,71,,2021-09-15 00:00:00
158,17,72,,
159,17,73,,
160,17,74,,
161,17,75,,
162,17,76,,
163,17,89,,
164,18,33,,
165,18,36,,
166,18,37,,
167,18,38,,
168,18,39,,
169,18,40,,
170,18,41,,
171,18,42,,
172,18,43,,
173,18,68,,
174,18,69,,
175,18,70,,
176,18,71,,2021-09-15 00:00:00
177,18,72,,
178,18,73,,
179,18,74,,
180,18,75,,
181,18,76,,
182,18,89,,
183,19,33,,
184,19,36,,
185,19,37,,
186,19,38,,
187,19,39,,
188,19,40,,
189,19,41,,
190,19,42,,
191,19,43,,
192,19,68,,
193,19,69,,
194,19,70,,
195,19,71,,2021-09-15 00:00:00
196,19,72,,
197,19,73,,
198,19,74,,
199,19,75,,
200,19,76,,
201,19,89,,
202,20,33,,
203,20,36,,
204,20,37,,
205,20,38,,
206,20,39,,
207,20,40,,
208,20,41,,
209,20,42,,
210,20,43,,
211,20,68,,
212,20,69,,
213,20,70,,
214,20,71,,2021-09-15 00:00:00
215,20,72,,
216,20,73,,
217,20,74,,
218,20,75,,
219,20,76,,
220,20,89,,
229,22,92,,
230,22,93,,
231,22,94,,
232,22,95,,
233,22,96,,
234,22,97,,
235,22,98,,
236,22,99,,
237,22,111,,
238,22,112,,
239,22,113,,
240,22,135,,2021-11-12 00:00:00
241,23,92,,
242,23,93,,
243,23,94,,
244,23,95,,
245,23,96,,
246,23,97,,
247,23,98,,
248,23,99,,
249,23,111,,
250,23,112,,
251,23,113,,
252,23,135,,2021-11-12 00:00:00
253,24,92,,
254,24,93,,
255,24,94,,
256,24,95,,
257,24,96,,
258,24,97,,
259,24,98,,
260,24,99,,
261,24,111,,
262,24,112,,
263,24,113,,
264,24,135,,2021-11-12 00:00:00
265,25,92,,
266,25,93,,
267,25,94,,
268,25,95,,
269,25,96,,
270,25,97,,
271,25,98,,
272,25,99,,
273,25,111,,
274,25,112,,
275,25,113,,
276,25,135,,2021-11-12 00:00:00
277,26,100,,
278,26,101,,
279,26,102,,
280,26,103,,
281,26,104,,
282,26,105,,
283,26,106,,
284,26,107,,
285,26,108,,
286,26,109,,
287,26,114,,
288,26,115,,
289,27,100,,
290,27,101,,
291,27,102,,
292,27,103,,
293,27,104,,
294,27,105,,
295,27,106,,
296,27,107,,
297,27,108,,
298,27,109,,
299,27,114,,
300,27,115,,
301,28,100,,
302,28,101,,
303,28,102,,
304,28,103,,
305,28,104,,
306,28,105,,
307,28,106,,
308,28,107,,
309,28,108,,
310,28,109,,
311,28,114,,
312,28,115,,
313,29,100,,
314,29,101,,
315,29,102,,
316,29,103,,
317,29,104,,
318,29,105,,
319,29,106,,
320,29,107,,
321,29,108,,
322,29,109,,
323,29,114,,
324,29,115,,
325,30,110,,
326,30,116,,
327,30,117,,
328,30,118,,
330,30,120,,
331,31,110,,
332,31,116,,
333,31,117,,
334,31,118,,
336,31,120,,
337,32,110,,
338,32,116,,
339,32,117,,
340,32,118,,
342,32,120,,
343,33,110,,
344,33,116,,
345,33,117,,
346,33,118,,
348,33,120,,
349,34,121,,
350,34,122,,
351,34,123,,
352,34,124,,
353,34,125,,
354,34,126,,
355,34,127,,
356,34,128,,
357,34,129,,
358,35,121,,
359,35,122,,
360,35,123,,
361,35,124,,
362,35,125,,
363,35,126,,
364,35,127,,
365,35,128,,
366,35,129,,
367,36,121,,
368,36,122,,
369,36,123,,
370,36,124,,
371,36,125,,
372,36,126,,
373,36,127,,
374,36,128,,
375,36,129,,
376,37,121,,
377,37,122,,
378,37,123,,
379,37,124,,
380,37,125,,
381,37,126,,
382,37,127,,
383,37,128,,
