IdFaseNota,IdPeriodo,IdSerie,NumeroFase,NomeFase,CabecBoletim,ImprimirBoletimNotaParcial,ImprimirBoletimNPNaoConfirmada,ImprimirBoletimNota,ImprimirBoletimFaltas,StFaseInformada,StCalcularDisciplinaComposta,IdFormulaComposicaoNota,IdFormulaNota,MediaMinimaAprovacao,ValorArredondamentoMedia,IdFormulaAprovacao,IdFormulaFalta,IdFaseNotaAprovacao,IdFaseNotaReprovacao,DataInicioExibicao,NumeroOrdemExibicao,NumeroSemanasLetivas,StCalcularSituacaoGeral,IdFormulaAprovacaoFrequencia,ValorNotaMaxima,DataInicialPeriodoAula,DataFinalPeriodoAula,StCalcDiscCompUtilizaFormulaFN,DataLimiteDigitacaoNota,NumeroDiasLetivos,StDispensarNotaAutomatica,TipoDispensaAutomatica,StConfirmarDispensaAutomatica,SituacaoReprovadoFrequencia,SituacaoAprovado,SituacaoReprovado,StFaseNotaSempreCalcular,TipoInformada,StPermiteProfessorImportarPadraoAvaliacao,StPermiteProfessorInserirEditarAvaliacao,StPermiteProfessorInserirBloco
1,1,8,1,1ª Unidade,1ª Un,False,False,True,True,True,False,12.0,,0.00,0.00,15.0,,2.0,,,1,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
2,1,8,2,2ª Unidade,2ª Un,False,False,True,True,True,False,12.0,,0.00,0.00,15.0,,3.0,,,2,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
3,1,8,3,3ª Unidade,3ª Un,False,False,True,True,True,False,12.0,,0.00,0.00,15.0,,4.0,,,3,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
4,1,8,4,4ª Unidade,4ª Un,False,False,True,True,True,False,12.0,,0.00,0.00,15.0,,5.0,,,4,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
5,1,8,5,Média Anual,MA,False,False,True,True,False,False,,13.0,0.00,0.00,16.0,,7.0,6.0,,5,,False,,10.00,,,False,,,False,,False,,,,False,FormulaComposicao,True,True,True
6,1,8,6,Recuperação Final,RF,False,False,True,True,True,False,12.0,,0.00,0.00,15.0,,7.0,,,6,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
7,1,8,7,Média Final,MF,False,False,True,True,False,False,,14.0,0.00,0.00,17.0,19.0,,,,7,,False,18.0,10.00,,,False,,,False,,False,R,A,R,False,FormulaComposicao,True,True,True
8,3,8,1,1ª Unidade,1ª Un,False,False,True,True,True,False,28.0,,0.00,0.00,31.0,,9.0,,,1,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
9,3,8,2,2ª Unidade,2ª Un,False,False,True,True,True,False,28.0,,0.00,0.00,31.0,,10.0,,,2,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
10,3,8,3,3ª Unidade,3ª Un,False,False,True,True,True,False,28.0,,0.00,0.00,31.0,,11.0,,,3,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
