IdAluno,CodigoSerie_x,AnoConclusao_x,IdDisciplina,StDependencia,Nota_,NotaFinal,CargaHorariaAnual,QuantidadeFaltasAnual,ResultadoFinal_x,IdSerie_x,CargaHorariaAnualExibicao,StCHIgnorarSoma_x,IdHistoricoNotas,NovoEnsinoMedio_GrupoEstruturaCurricular,NovoEnsinoMedio_AreaConhecimento,CargaHorariaAnualHoraMinuto,CargaHorariaAnualHoraMinutoExibicao,StUsaCargaHorariaAnualHoraMinutoTexto,FaltasHoraMinuto,CargaHorariaAula,CodigoSerie_y,AnoConclusao_y,ResultadoFinal_y,IdEstabelecimentoEnsino,DiasLetivos,CargaHorariaTotal,Observacao,IdSerie_y,CargaHorariaTotalExibicao,StCHIgnorarSoma_y,FrequenciaTotal,CargaHorariaTotalHoraMinuto,CargaHorariaTotalHoraMinutoExibicao,StUsaCargaHorariaTotalHoraMinutoTexto,TotalFaltasTexto
2,n14,2023,5,0,," 6,5",,0.0,R,,,False,59,,,,,False,,,n14,2023,C,2083,,,,,,False,,,,False,
2,n14,2023,5,0,," 6,5",,0.0,R,,,False,59,,,,,False,,,n17,2023,A,2083,,,,,,False,,,,False,
2,n17,2023,5,0,," 6,0",,,A,,,False,60,,,,,False,,,n14,2023,C,2083,,,,,,False,,,,False,
2,n17,2023,5,0,," 6,0",,,A,,,False,60,,,,,False,,,n17,2023,A,2083,,,,,,False,,,,False,
2,n17,2023,25,0,," 6,0",,,A,,,False,61,,,,,False,,,n14,2023,C,2083,,,,,,False,,,,False,
2,n17,2023,25,0,," 6,0",,,A,,,False,61,,,,,False,,,n17,2023,A,2083,,,,,,False,,,,False,
3,n16,2021,17,0,, ,,0.0,A,,,False,19,,,,,False,,,n16,2021,A,2083,,,,,,False,,,,False,
4,n16,2021,17,0,, ,,0.0,A,,,False,20,,,,,False,,,n16,2021,A,2083,,,,,,False,,,,False,
8,n16,2021,17,0,, ,,0.0,A,,,False,21,,,,,False,,,n16,2021,A,2083,,,,,,False,,,,False,
12,n16,2021,17,0,, ,,0.0,A,,,False,22,,,,,False,,,n16,2021,A,2083,,,,,,False,,,,False,
15,n16,2021,17,0,, ,,0.0,A,,,False,23,,,,,False,,,n16,2021,A,2083,,,,,,False,,,,False,
17,n16,2021,17,0,, ,,0.0,A,,,False,24,,,,,False,,,n16,2021,A,2083,,,,,,False,,,,False,
21,n16,2021,17,0,, ,,0.0,A,,,False,27,,,,,False,,,n16,2021,A,2083,,,,,,False,,,,False,
24,n16,2021,17,0,, ,,0.0,A,,,False,17,,,,,False,,,n16,2021,A,2083,,,,,,False,,,,False,
25,n16,2021,17,0,, ,,0.0,A,,,False,29,,,,,False,,,n16,2021,A,2083,,,,,,False,,,,False,
26,n16,2021,17,0,, ,,0.0,A,,,False,31,,,,,False,,,n16,2021,A,2083,,,,,,False,,,,False,
27,n16,2021,17,0,, ,,0.0,A,,,False,32,,,,,False,,,n16,2021,A,2083,,,,,,False,,,,False,
