IdAluno,CodigoSerie,AnoConclusao,IdDisciplina,StDependencia,Nota_,NotaFinal,CargaHorariaAnual,QuantidadeFaltasAnual,ResultadoFinal,IdSerie,CargaHorariaAnualExibicao,StCHIgnorarSoma,IdHistoricoNotas,NovoEnsinoMedio_GrupoEstruturaCurricular,NovoEnsinoMedio_AreaConhecimento,CargaHorariaAnualHoraMinuto,CargaHorariaAnualHoraMinutoExibicao,StUsaCargaHorariaAnualHoraMinutoTexto,FaltasHoraMinuto,CargaHorariaAula
2,n14,2023  ,5,0,," 6,5",,0.0,R,,,False,59,,,,,False,,
2,n17,2023  ,5,0,," 6,0",,,A,,,False,60,,,,,False,,
2,n17,2023  ,25,0,," 6,0",,,A,,,False,61,,,,,False,,
3,n16,2021  ,17,0,, ,,0.0,A,,,False,19,,,,,False,,
4,n16,2021  ,17,0,, ,,0.0,A,,,False,20,,,,,False,,
8,n16,2021  ,17,0,, ,,0.0,A,,,False,21,,,,,False,,
12,n16,2021  ,17,0,, ,,0.0,A,,,False,22,,,,,False,,
15,n16,2021  ,17,0,, ,,0.0,A,,,False,23,,,,,False,,
17,n16,2021  ,17,0,, ,,0.0,A,,,False,24,,,,,False,,
21,n16,2021  ,17,0,, ,,0.0,A,,,False,27,,,,,False,,
24,n16,2021  ,17,0,, ,,0.0,A,,,False,17,,,,,False,,
25,n16,2021  ,17,0,, ,,0.0,A,,,False,29,,,,,False,,
26,n16,2021  ,17,0,, ,,0.0,A,,,False,31,,,,,False,,
27,n16,2021  ,17,0,, ,,0.0,A,,,False,32,,,,,False,,
28,n16,2021  ,17,0,, ,,0.0,A,,,False,33,,,,,False,,
29,n16,2021  ,17,0,, ,,0.0,A,,,False,34,,,,,False,,
30,n16,2021  ,17,0,, ,,0.0,A,,,False,35,,,,,False,,
31,n16,2021  ,17,0,, ,,0.0,A,,,False,38,,,,,False,,
32,n16,2021  ,17,0,, ,,0.0,A,,,False,39,,,,,False,,
45,n18,2022  ,5,0,," 6,0",,0.0,A,,,False,40,,,,,False,,
45,n18,2022  ,20,0,, ,,0.0,A,,,False,41,,,,,False,,
87,n16,2021  ,17,0,, ,,0.0,A,,,False,25,,,,,False,,
130,n16,2021  ,17,0,, ,,0.0,A,,,False,18,,,,,False,,
131,n16,2021  ,17,0,, ,,0.0,A,,,False,36,,,,,False,,
208,n13,2022  ,5,0,," 6,0",,0.0,A,,,False,46,,,,,False,,
221,n13,2022  ,5,0,," 6,0",,0.0,A,,,False,53,,,,,False,,
289,n13,2022  ,5,0,," 6,0",,0.0,A,,,False,44,,,,,False,,
324,n13,2022  ,5,0,," 6,0",,0.0,A,,,False,45,,,,,False,,
455,n13,2022  ,5,0,," 6,0",,0.0,A,,,False,48,,,,,False,,
518,n13,2022  ,5,0,," 6,0",,0.0,A,,,False,42,,,,,False,,
540,n15,2022  ,5,0,," 6,0",,0.0,A,,,False,56,,,,,False,,
562,n13,2022  ,5,0,," 6,0",,0.0,A,,,False,50,,,,,False,,
582,n16,2021  ,17,0,, ,,0.0,A,,,False,26,,,,,False,,
583,n16,2021  ,17,0,, ,,0.0,A,,,False,28,,,,,False,,
587,n13,2022  ,5,0,," 6,0",,0.0,A,,,False,43,,,,,False,,
724,n16,2021  ,17,0,, ,,0.0,A,,,False,10,,,,,False,,
727,n16,2021  ,17,0,, ,,0.0,A,,,False,2,,,,,False,,
734,n16,2021  ,17,0,, ,,0.0,A,,,False,13,,,,,False,,
735,n16,2021  ,17,0,, ,,0.0,A,,,False,11,,,,,False,,
736,n16,2021  ,17,0,, ,,0.0,A,,,False,4,,,,,False,,
738,n16,2021  ,17,0,, ,,0.0,A,,,False,9,,,,,False,,
739,n16,2021  ,17,0,, ,,0.0,A,,,False,16,,,,,False,,
740,n16,2021  ,17,0,, ,,0.0,A,,,False,7,,,,,False,,
744,n16,2021  ,17,0,, ,,0.0,A,,,False,14,,,,,False,,
746,n16,2021  ,17,0,, ,,0.0,A,,,False,15,,,,,False,,
747,n16,2021  ,17,0,, ,,0.0,A,,,False,8,,,,,False,,
748,n16,2021  ,17,0,, ,,0.0,A,,,False,3,,,,,False,,
749,n16,2021  ,17,0,, ,,0.0,A,,,False,5,,,,,False,,
750,n16,2021  ,17,0,, ,,0.0,A,,,False,12,,,,,False,,
751,n16,2021  ,17,0,, ,,0.0,A,,,False,30,,,,,False,,
794,n16,2021  ,17,0,, ,,0.0,A,,,False,6,,,,,False,,
799,n16,2021  ,17,0,, ,,0.0,A,,,False,37,,,,,False,,
887,n13,2022  ,5,0,," 6,0",,0.0,A,,,False,55,,,,,False,,
920,n13,2022  ,5,0,," 6,0",,0.0,A,,,False,51,,,,,False,,
1124,n13,2022  ,5,0,," 6,0",,0.0,A,,,False,49,,,,,False,,
1160,n15,2022  ,5,0,," 6,0",,0.0,A,,,False,54,,,,,False,,
1166,n13,2022  ,5,0,," 6,0",,0.0,A,,,False,57,,,,,False,,
1167,n13,2022  ,5,0,," 6,0",,0.0,A,,,False,47,,,,,False,,
1171,n13,2022  ,5,0,," 6,0",,0.0,A,,,False,58,,,,,False,,
1246,n13,2022  ,5,0,," 6,0",,0.0,A,,,False,52,,,,,False,,
