CodigoConceito,Descricao,OrdemExibicao,CodigoResumido,IdPeriodo,IdSerie,IdMetaConceito
1," Aluno dedicado, responsável e participativo. Realiza tudo o que é solicitado.
Parabéns!!!",1,1,4,2,1
2,"Aluno com capacidade, mas ainda precisa do incentivo do professor para realizar as atividades. 
Acre",2,2,4,2,2
3,"Aluno esforçado tenta realizar todas as atividades, mas ainda não alcançou o resultado esperado.
Jun",3,3,4,2,59
4,"Aluno deixou de realizar algumas tarefas e precisa de constante intervenção do professor.
Você é luz",4,4,4,2,60
3,"Aluno esforçado tenta realizar todas as atividades, mas ainda não alcançou o resultado esperado.
Jun",3,3,4,8,61
4,"Aluno deixou de realizar algumas tarefas e precisa de constante intervenção do professor.
Você é luz",4,4,4,8,62
1," Aluno dedicado, responsável e participativo. Realiza tudo o que é solicitado.
Parabéns!!!",1,1,4,8,63
2,"Aluno com capacidade, mas ainda precisa do incentivo do professor para realizar as atividades. 
Acre",2,2,4,8,64
4,"Aluno deixou de realizar algumas tarefas e precisa de constante intervenção do professor.
Você é luz",4,4,4,11,65
3,"Aluno esforçado tenta realizar todas as atividades, mas ainda não alcançou o resultado esperado.
Jun",3,3,4,11,66
1," Aluno dedicado, responsável e participativo. Realiza tudo o que é solicitado.
Parabéns!!!",1,1,4,11,67
2,"Aluno com capacidade, mas ainda precisa do incentivo do professor para realizar as atividades. 
Acre",2,2,4,11,68
3,"Aluno esforçado tenta realizar todas as atividades, mas ainda não alcançou o resultado esperado.
Jun",3,3,4,15,69
4,"Aluno deixou de realizar algumas tarefas e precisa de constante intervenção do professor.
Você é luz",4,4,4,15,70
1," Aluno dedicado, responsável e participativo. Realiza tudo o que é solicitado.
Parabéns!!!",1,1,4,15,71
2,"Aluno com capacidade, mas ainda precisa do incentivo do professor para realizar as atividades. 
Acre",2,2,4,15,72
4,"Aluno deixou de realizar algumas tarefas e precisa de constante intervenção do professor.
Você é luz",4,4,4,18,73
3,"Aluno esforçado tenta realizar todas as atividades, mas ainda não alcançou o resultado esperado.
Jun",3,3,4,18,74
1," Aluno dedicado, responsável e participativo. Realiza tudo o que é solicitado.
Parabéns!!!",1,1,4,18,75
2,"Aluno com capacidade, mas ainda precisa do incentivo do professor para realizar as atividades. 
Acre",2,2,4,18,76
3,"Aluno esforçado tenta realizar todas as atividades, mas ainda não alcançou o resultado esperado.
Jun",3,3,4,24,77
4,"Aluno deixou de realizar algumas tarefas e precisa de constante intervenção do professor.
Você é luz",4,4,4,24,78
1," Aluno dedicado, responsável e participativo. Realiza tudo o que é solicitado.
Parabéns!!!",1,1,4,24,79
2,"Aluno com capacidade, mas ainda precisa do incentivo do professor para realizar as atividades. 
Acre",2,2,4,24,80
4,"Aluno deixou de realizar algumas tarefas e precisa de constante intervenção do professor.
Você é luz",4,4,4,25,81
3,"Aluno esforçado tenta realizar todas as atividades, mas ainda não alcançou o resultado esperado.
Jun",3,3,4,25,82
1," Aluno dedicado, responsável e participativo. Realiza tudo o que é solicitado.
Parabéns!!!",1,1,4,25,83
2,"Aluno com capacidade, mas ainda precisa do incentivo do professor para realizar as atividades. 
Acre",2,2,4,25,84
3,"Aluno esforçado tenta realizar todas as atividades, mas ainda não alcançou o resultado esperado.
Jun",3,3,4,29,85
4,"Aluno deixou de realizar algumas tarefas e precisa de constante intervenção do professor.
Você é luz",4,4,4,29,86
1," Aluno dedicado, responsável e participativo. Realiza tudo o que é solicitado.
Parabéns!!!",1,1,4,29,87
2,"Aluno com capacidade, mas ainda precisa do incentivo do professor para realizar as atividades. 
Acre",2,2,4,29,88
4,"Aluno deixou de realizar algumas tarefas e precisa de constante intervenção do professor.
Você é luz",4,4,4,32,89
3,"Aluno esforçado tenta realizar todas as atividades, mas ainda não alcançou o resultado esperado.
Jun",3,3,4,32,90
1," Aluno dedicado, responsável e participativo. Realiza tudo o que é solicitado.
Parabéns!!!",1,1,4,32,91
