IdFaseNota,NomeFase,OrdemExibicao,IdSerie,IdPeriodo,Temas,Conteudos,DataInicioExibicao,DataLimiteDigitacao,ComentarioMetaBoletim,TemaFaseNota
1,1º SEMESTRE,1,2,4,,,,,,
2,2º SEMESTRE,2,2,4,,,,,,
3,1º SEMESTRE,1,8,4,,,,,,
4,2º SEMESTRE,2,8,4,,,,,,
5,1º SEMESTRE,1,11,4,,,,,,
6,2º SEMESTRE,2,11,4,,,,,,
7,1º SEMESTRE,1,15,4,,,,,,
8,2º SEMESTRE,2,15,4,,,,,,
9,1º SEMESTRE,1,18,4,,,,,,
10,2º SEMESTRE,2,18,4,,,,,,
11,1º SEMESTRE,1,24,4,,,,,,
12,2º SEMESTRE,2,24,4,,,,,,
13,1º SEMESTRE,1,25,4,,,,,,
14,2º SEMESTRE,2,25,4,,,,,,
15,1º SEMESTRE,1,29,4,,,,,,
16,2º SEMESTRE,2,29,4,,,,,,
17,1º SEMESTRE,1,32,4,,,,,,
18,2º SEMESTRE,2,32,4,,,,,,
19,1º SEMESTRE,1,33,4,,,,,,
20,2º SEMESTRE,2,33,4,,,,,,
21,1º SEMESTRE,1,34,4,,,,,,
22,2º SEMESTRE,2,34,4,,,,,,
23,1º SEMESTRE,1,35,4,,,,,,
24,2º SEMESTRE,2,35,4,,,,,,
25,1º SEMESTRE,1,36,4,,,,,,
26,2º SEMESTRE,2,36,4,,,,,,
27,1º SEMESTRE,1,37,4,,,,,,
28,2º SEMESTRE,2,37,4,,,,,,
29,1º SEMESTRE,1,38,4,,,,,,
30,2º SEMESTRE,2,38,4,,,,,,
31,1º SEMESTRE,1,39,4,,,,,,
32,2º SEMESTRE,2,39,4,,,,,,
33,1º SEMESTRE,1,40,4,,,,,,
34,2º SEMESTRE,2,40,4,,,,,,
35,1º SEMESTRE,1,41,4,,,,,,
36,2º SEMESTRE,2,41,4,,,,,,
37,1º SEMESTRE,1,42,4,,,,,,
38,2º SEMESTRE,2,42,4,,,,,,
39,1º SEMESTRE,1,43,4,,,,,,
40,2º SEMESTRE,2,43,4,,,,,,
41,1º SEMESTRE,1,44,4,,,,,,
42,2º SEMESTRE,2,44,4,,,,,,
43,1º SEMESTRE,1,45,4,,,,,,
44,2º SEMESTRE,2,45,4,,,,,,
45,1º SEMESTRE,1,46,4,,,,,,
46,2º SEMESTRE,2,46,4,,,,,,
47,1º SEMESTRE,1,47,4,,,,,,
48,2º SEMESTRE,2,47,4,,,,,,
49,1º SEMESTRE,1,48,4,,,,,,
50,2º SEMESTRE,2,48,4,,,,,,
51,1º SEMESTRE,1,49,4,,,,,,
52,2º SEMESTRE,2,49,4,,,,,,
53,1º SEMESTRE,1,50,4,,,,,,
54,2º SEMESTRE,2,50,4,,,,,,
55,1º SEMESTRE,1,51,4,,,,,,
56,2º SEMESTRE,2,51,4,,,,,,
57,1º SEMESTRE,1,52,4,,,,,,
58,2º SEMESTRE,2,52,4,,,,,,
59,1º SEMESTRE,1,8,5,,,,,,
60,2º SEMESTRE,2,8,5,,,,,,
61,1º SEMESTRE,1,11,5,,,,,,
62,2º SEMESTRE,2,11,5,,,,,,
63,1º SEMESTRE,1,15,5,,,,,,
64,2º SEMESTRE,2,15,5,,,,,,
65,1º SEMESTRE,1,18,5,,,,,,
66,2º SEMESTRE,2,18,5,,,,,,
67,1º SEMESTRE,1,24,5,,,,,,
68,2º SEMESTRE,2,24,5,,,,,,
69,1º SEMESTRE,1,25,5,,,,,,
70,2º SEMESTRE,2,25,5,,,,,,
71,1º SEMESTRE,1,29,5,,,,,,
72,2º SEMESTRE,2,29,5,,,,,,
73,1º SEMESTRE,1,32,5,,,,,,
74,2º SEMESTRE,2,32,5,,,,,,
75,1º SEMESTRE,1,33,5,,,,,,
76,2º SEMESTRE,2,33,5,,,,,,
77,1º SEMESTRE,1,34,5,,,,,,
78,2º SEMESTRE,2,34,5,,,,,,
79,1º SEMESTRE,1,35,5,,,,,,
80,2º SEMESTRE,2,35,5,,,,,,
81,1º SEMESTRE,1,36,5,,,,,,
82,2º SEMESTRE,2,36,5,,,,,,
83,1º SEMESTRE,1,37,5,,,,,,
84,2º SEMESTRE,2,37,5,,,,,,
85,1º SEMESTRE,1,38,5,,,,,,
86,2º SEMESTRE,2,38,5,,,,,,
87,1º SEMESTRE,1,39,5,,,,,,
88,2º SEMESTRE,2,39,5,,,,,,
89,1º SEMESTRE,1,40,5,,,,,,
90,2º SEMESTRE,2,40,5,,,,,,
91,1º SEMESTRE,1,41,5,,,,,,
92,2º SEMESTRE,2,41,5,,,,,,
93,1º SEMESTRE,1,42,5,,,,,,
94,2º SEMESTRE,2,42,5,,,,,,
95,1º SEMESTRE,1,43,5,,,,,,
96,2º SEMESTRE,2,43,5,,,,,,
97,1º SEMESTRE,1,44,5,,,,,,
98,2º SEMESTRE,2,44,5,,,,,,
99,1º SEMESTRE,1,45,5,,,,,,
100,2º SEMESTRE,2,45,5,,,,,,
101,1º SEMESTRE,1,46,5,,,,,,
102,2º SEMESTRE,2,46,5,,,,,,
103,1º SEMESTRE,1,47,5,,,,,,
104,2º SEMESTRE,2,47,5,,,,,,
105,1º SEMESTRE,1,48,5,,,,,,
106,2º SEMESTRE,2,48,5,,,,,,
107,1º SEMESTRE,1,49,5,,,,,,
108,2º SEMESTRE,2,49,5,,,,,,
109,1º SEMESTRE,1,50,5,,,,,,
110,2º SEMESTRE,2,50,5,,,,,,
111,1º SEMESTRE,1,51,5,,,,,,
112,2º SEMESTRE,2,51,5,,,,,,
113,1º SEMESTRE,1,52,5,,,,,,
114,2º SEMESTRE,2,52,5,,,,,,
115,1º SEMESTRE,1,54,5,,,,,,
116,2º SEMESTRE,2,54,5,,,,,,
