IdAluno,IdTurma,IdMeta,_CodigoConceito,Aulas,Faltas,StConceitoConfirmado,IdMetaConceito
2,466,433,,,,True,391.0
2,505,468,,,,True,381.0
2,505,469,,,,True,381.0
2,505,501,,,,False,413.0
2,505,514,,,,True,382.0
2,530,517,,,,True,382.0
3,106,72,,,,False,85.0
3,106,73,,,,True,87.0
3,106,203,,,,False,291.0
3,106,204,,,,True,88.0
3,210,264,,,,True,279.0
3,210,265,,,,True,262.0
3,210,267,,,,True,279.0
3,210,268,,,,True,261.0
3,210,404,,,,True,262.0
3,210,417,,,,False,291.0
3,210,418,,,,False,291.0
3,210,424,,,,True,262.0
3,303,397,,,,False,291.0
3,303,398,,,,True,290.0
4,106,72,,,,False,87.0
4,106,73,,,,True,87.0
4,106,203,,,,False,
4,106,204,,,,True,87.0
4,211,417,,,,False,
4,211,418,,,,False,
4,300,397,,,,False,
4,300,398,,,,False,
5,113,195,,,,True,73.0
5,113,196,,,,False,
5,113,198,,,,False,
5,196,409,,,,False,
6,113,195,,,,True,73.0
6,113,196,,,,False,
6,113,198,,,,False,
7,113,195,,,,True,73.0
7,113,196,,,,False,
7,113,198,,,,False,
7,196,409,,,,False,
8,106,72,,,,False,85.0
8,106,73,,,,True,87.0
8,106,203,,,,True,291.0
8,106,204,,,,True,87.0
8,210,264,,,,True,279.0
8,210,265,,,,True,279.0
8,210,267,,,,True,279.0
8,210,268,,,,True,261.0
8,210,404,,,,True,262.0
8,210,417,,,,True,291.0
8,210,418,,,,True,291.0
8,210,424,,,,True,279.0
8,303,398,,,,True,291.0
9,113,195,,,,True,73.0
9,113,196,,,,False,
9,113,198,,,,False,
10,113,195,,,,True,73.0
10,113,196,,,,False,
10,113,198,,,,False,
10,196,409,,,,False,
11,113,195,,,,True,73.0
11,113,196,,,,False,
11,113,198,,,,False,
11,196,409,,,,False,
12,106,72,,,,False,87.0
12,106,73,,,,True,87.0
12,106,203,,,,True,87.0
12,106,204,,,,True,87.0
12,270,409,,,,False,
13,113,195,,,,True,73.0
13,113,196,,,,False,
13,113,198,,,,False,
14,113,195,,,,True,73.0
14,113,196,,,,False,
14,113,198,,,,False,
15,106,72,,,,False,87.0
15,106,73,,,,True,87.0
15,106,203,,,,True,87.0
15,106,204,,,,True,87.0
15,210,417,,,,False,
16,113,195,,,,True,73.0
16,113,196,,,,False,
