IdDisciplina,IdTurma,IdAluno,StDisciplinaDispensada
1,11,183,A
1,11,184,A
1,11,185,A
1,11,186,A
1,11,187,A
1,11,188,A
1,11,189,A
1,11,190,A
1,11,192,A
1,11,586,A
1,52,358,A
1,52,359,A
1,52,360,A
1,52,361,A
1,52,362,A
1,52,363,A
1,52,364,A
1,52,365,A
1,52,366,A
1,52,367,A
1,52,370,A
1,52,371,A
1,52,792,A
1,53,594,A
1,53,596,A
1,53,597,A
1,53,598,A
1,53,599,A
1,53,600,A
1,53,601,A
1,63,196,A
1,63,197,A
1,63,199,A
1,63,201,A
1,63,202,A
1,63,203,A
1,63,204,A
1,63,205,A
1,63,207,A
1,63,261,A
1,63,796,A
1,69,206,A
1,69,372,A
1,69,373,A
1,69,374,A
1,69,375,A
1,69,376,A
1,69,378,A
1,69,379,A
1,69,380,A
1,69,381,A
1,69,382,A
1,69,383,A
1,69,603,A
1,69,604,A
1,70,384,A
1,70,385,A
1,70,386,A
1,70,387,A
1,70,388,A
1,70,389,A
1,70,391,A
1,70,445,A
1,70,476,A
1,70,505,A
1,70,607,A
1,70,618,A
1,70,621,A
1,71,395,A
1,71,396,A
1,71,398,A
1,71,399,A
1,71,401,A
1,71,405,A
1,71,407,A
1,71,409,A
1,71,410,A
1,71,413,A
1,71,414,A
1,71,415,A
1,71,417,A
1,71,759,A
1,72,426,A
1,72,430,A
1,72,432,A
1,72,434,A
1,72,436,A
1,72,438,A
1,72,440,A
1,72,442,A
1,72,447,A
1,72,450,A
1,72,453,A
1,72,460,A
1,72,461,A
1,72,580,A
1,72,798,A
1,73,368,A
1,73,369,A
1,73,402,A
1,73,411,A
1,73,462,A
1,73,463,A
1,73,465,A
1,73,467,A
1,73,470,A
1,73,471,A
1,73,472,A
1,73,473,A
1,73,474,A
1,73,489,A
1,73,554,A
1,73,602,A
1,73,786,A
1,74,404,A
1,74,475,A
1,74,477,A
1,74,478,A
1,74,479,A
1,74,480,A
1,74,481,A
1,74,483,A
1,74,484,A
1,74,485,A
1,74,490,A
1,74,494,A
1,74,544,A
1,74,615,A
1,74,627,A
1,75,486,A
1,75,487,A
1,75,488,A
1,75,495,A
1,75,497,A
1,75,514,A
1,75,780,A
1,75,787,A
1,76,500,A
1,76,502,A
1,76,504,A
1,76,507,A
1,76,509,A
1,76,511,A
1,76,543,A
1,76,545,A
1,76,546,A
1,76,550,A
1,76,557,A
1,76,560,A
1,76,561,A
1,77,517,A
1,77,563,A
1,77,568,A
1,77,570,A
1,77,572,A
1,77,573,A
1,77,574,A
1,77,576,A
1,77,578,A
1,77,609,A
1,77,613,A
1,77,788,A
1,77,790,A
1,78,194,A
1,78,208,A
1,78,245,A
1,78,246,A
1,78,247,A
1,78,248,A
1,78,454,A
1,78,455,A
1,78,587,A
1,78,590,A
1,78,737,A
1,79,250,A
1,79,253,A
1,79,258,A
1,79,259,A
1,79,276,A
1,79,277,A
1,79,278,A
1,79,279,A
1,79,588,A
1,80,280,A
1,80,281,A
1,80,282,A
1,80,283,A
1,80,284,A
1,80,286,A
1,80,287,A
1,80,288,A
1,80,289,A
1,80,733,A
1,81,291,A
1,81,293,A
1,81,294,A
1,81,297,A
1,81,299,A
1,82,249,A
1,82,257,A
1,82,274,A
1,82,285,A
1,82,290,A
1,82,292,A
1,82,305,A
1,82,307,A
1,82,315,A
1,82,318,A
1,82,527,A
1,83,422,A
1,83,423,A
1,83,428,A
1,83,558,A
1,83,559,A
1,83,562,A
1,83,564,A
1,83,565,A
