IdSerie,IdCurso,NomeSerie,IdProximaSerie,IdServicoMensalidade,QuantidadeDependencias,CodigoSerie,StPermiteMatriculaRepetida,TIAcodigo,StSerieDependencia,IdSituacaoAlunoTurmaCursando,IdSituacaoAlunoTurmaAprovado,IdSituacaoAlunoTurmaPParcial,IdSituacaoAlunoTurmaReprovado,StFreqPermitirSaidaSozinho,_StSerieComTurmasAlternativas,StSerieUtilizaAvaliacaoNota,StSerieUtilizaAvaliacaoRelatorio,StSerieUtilizaAvaliacaoMeta,Reserva_IdServico,Reserva_QtdeDiasValidade,StExibirDiarioModuloInternet,StExibirConteudoProgramaticoInternet,IdEstabelecimentoEnsino,StRecalculaMatriculaIdentificadoraEnturmacao,PrefixoMatricula,StPermiteAcessoPortalEducacional,StExibirSerieNotasModuloInternet,TipoSerieAlternativa,InscrTurma_QtdeDiasUteisSolicitacaoValida,IntegPortal_CodigoSerie,StModeloSistemaAvaliacao,StSerieUtilizaRotinaEducacaoInfantil,Educacenso_CodigoSerie,StIntegracaoAppComunicacao,StDisponivelModuloCaptacaoAlunos,IdFormularioRotinaEducacaoInfantil,ItFor_StDisponivelMatricular,ItFor_StDisponivelMatricularAlunoPortalWeb,ItFor_IdPeriodo,ItFor_QuantidadeMinimaDisciplinas,ItFor_QuantidadeMaximaDisciplinas,ItFor_IdSituacaoAlunoTurmaAposMatricula,ItFor_QuantidadeMinimaTrilhas,ItFor_QuantidadeMaximaTrilhas,StExibirTarefaAvaliacaoPortalWeb,StGerarHistoricoInfantil,NotaAlunoHistoricoInfantil
2,1,Alfabetização,8.0,34,0,05,True,,False,1,9,12,10,False,False,True,True,True,,,True,True,,False,,False,True,2,0,,False,True,2.0,False,True,1.0,False,False,,,,,,,True,False,
8,2,Fase 1,11.0,34,0,n11,True,,False,1,9,12,10,False,False,True,True,True,,,True,True,,False,,False,True,2,0,,False,True,14.0,False,True,1.0,False,False,,,,,,,True,False,
11,4,Fase 2,15.0,34,0,n12,True,,False,1,9,12,10,False,False,True,True,True,,,True,True,,False,,False,True,2,0,,False,True,15.0,False,True,1.0,False,False,,,,,,,True,False,
15,3,Fase 3,25.0,34,0,n13,True,,False,1,9,12,10,False,False,True,True,True,,,True,True,,False,,False,True,2,0,,False,True,16.0,False,True,1.0,False,False,,,,,,,True,False,
18,9,Fase 8,60.0,34,0,n18,False,,False,1,9,12,10,False,False,True,True,True,,,True,True,,False, ,False,True,2,0,,False,True,21.0,False,False,1.0,False,False,,,,,,,True,False,
24,6,Fase 5,29.0,34,0,n15,False,,False,1,9,12,10,False,False,True,True,True,,,True,True,,False, ,False,True,2,0,,False,True,18.0,False,False,1.0,False,False,,,,,,,True,False,
25,5,Fase 4,24.0,34,0,n14,False,,False,1,9,12,10,False,False,True,True,True,,,True,True,,False, ,False,True,2,0,,False,True,17.0,False,False,1.0,False,False,,,,,,,True,False,
29,7,Fase 6,32.0,34,0,n16,False,,False,1,9,12,10,False,False,True,True,True,,,True,True,,False, ,False,True,2,0,,False,True,19.0,False,False,1.0,False,False,,,,,,,True,False,
32,8,Fase 7,18.0,34,0,n17,False,,False,1,9,12,10,False,False,True,True,True,,,True,True,,False, ,False,True,2,0,,False,True,20.0,False,False,1.0,False,False,,,,,,,True,False,
33,10,German Class,,34,0,00,False,,False,1,9,12,10,False,False,True,True,False,,,True,False,,False, ,False,True,2,0,,False,True,,False,False,1.0,False,False,,,,,,,True,False,
34,10,Matemática +,,34,0,00,False,,False,1,9,12,10,False,False,False,True,False,,,True,False,,False, ,False,True,1,0,,False,True,,False,False,1.0,False,False,,,,,,,True,False,
35,10,Coração Matemático,,34,0,00,False,,False,1,9,12,10,False,False,False,True,True,,,True,False,,False, ,False,True,1,0,,False,True,,False,False,1.0,False,False,,,,,,,True,False,
36,10,Preparatório USP,,34,0,00,False,,False,1,9,12,10,False,False,True,True,True,,,False,False,,False, ,False,False,2,0,,False,True,,False,False,1.0,False,False,,,,,,,True,False,
37,10,Clube do Livro,,34,0,00,False,,False,1,9,12,10,False,False,False,True,True,,,True,False,,False, ,False,True,1,0,,False,True,,False,False,1.0,False,False,,,,,,,True,False,
38,10,Construindo Sonhos,,34,0,00,False,,False,1,9,12,10,False,False,True,True,True,,,True,False,,False, ,False,True,2,0,,False,True,,False,False,1.0,False,False,,,,,,,True,False,
39,10,Heróis da Educação,,34,0,00,False,,False,1,9,12,10,False,False,True,True,True,,,False,False,,False, ,False,False,2,0,,False,True,,False,False,1.0,False,False,,,,,,,True,False,
40,10,Expandindo Horizontes,,34,0,00,False,,False,1,9,12,10,False,False,True,True,True,,,False,False,,False, ,False,False,2,0,,False,True,,False,False,1.0,False,False,,,,,,,True,False,
41,10,Arte e Magia,,34,0,00,False,,False,1,9,12,10,False,False,True,True,True,,,True,True,,False, ,False,False,1,0,,False,True,,False,False,1.0,False,False,,,,,,,True,False,
