IdDisciplina,IdTurma,IdAluno,IdFaseNotaAtual,SituacaoAtual,StDisciplinaDispensada,IdAlunoCurso,DataMatricula,IdUsuarioMatricula,DataTrancamento,IdUsuarioTrancamento,IdMotivoTrancamento,ComentarioTrancamento,IdSituacaoAlunoDisciplina,NotaFinal,Faltas,ProblemaAutorizadoMatricula,IdUsuarioAutorizacaoMatricula,JustificativaAutorizacaoMatricula,StGoogleEdu_Sincronizado,GoogleForEducation_LogProcessamento
1,106,3,55,A,A,,,15.0,,,,,9,,,,,,False,
4,106,3,55,A,A,,,15.0,,,,,10,,,,,,False,
5,106,3,55,A,A,,,15.0,,,,,11,,,,,,False,
17,106,3,55,A,A,,,15.0,,,,,12,,,,,,False,
5,113,5,67,A,A,,,16.0,,,,,13,,,,,,False,
5,113,6,67,A,A,,,16.0,,,,,14,,,,,,False,
1,106,4,55,A,A,,,14.0,,,,,15,,,,,,False,
4,106,4,55,A,A,,,14.0,,,,,16,,,,,,False,
5,106,4,55,A,A,,,14.0,,,,,17,,,,,,False,
17,106,4,55,A,A,,,14.0,,,,,18,,,,,,False,
5,113,7,67,A,A,,,16.0,,,,,19,,,,,,False,
5,113,9,67,A,A,,,16.0,,,,,20,,,,,,False,
1,106,8,55,A,A,,,14.0,,,,,21,,,,,,False,
4,106,8,55,A,A,,,14.0,,,,,22,,,,,,False,
5,106,8,55,A,A,,,14.0,,,,,23,,,,,,False,
17,106,8,55,A,A,,,14.0,,,,,24,,,,,,False,
5,113,10,67,A,A,,,16.0,,,,,25,,,,,,False,
5,113,11,67,A,A,,,16.0,,,,,26,,,,,,False,
5,113,13,67,A,A,,,16.0,,,,,27,,,,,,False,
5,113,14,67,A,A,,,16.0,,,,,28,,,,,,False,
1,106,15,55,A,A,,,14.0,,,,,29,,,,,,False,
4,106,15,55,A,A,,,14.0,,,,,30,,,,,,False,
5,106,15,55,A,A,,,14.0,,,,,31,,,,,,False,
17,106,15,55,A,A,,,14.0,,,,,32,,,,,,False,
5,113,16,67,A,A,,,16.0,,,,,33,,,,,,False,
1,106,12,55,A,A,,,14.0,,,,,34,,,,,,False,
4,106,12,55,A,A,,,14.0,,,,,35,,,,,,False,
5,106,12,55,A,A,,,14.0,,,,,36,,,,,,False,
17,106,12,55,A,A,,,14.0,,,,,37,,,,,,False,
1,106,17,55,A,A,,,14.0,,,,,38,,,,,,False,
4,106,17,55,A,A,,,14.0,,,,,39,,,,,,False,
5,106,17,55,A,A,,,14.0,,,,,40,,,,,,False,
17,106,17,55,A,A,,,14.0,,,,,41,,,,,,False,
1,107,25,55,A,A,,,14.0,,,,,58,,,,,,False,
4,107,25,55,A,A,,,14.0,,,,,59,,,,,,False,
5,107,25,55,A,A,,,14.0,,,,,60,,,,,,False,
17,107,25,55,A,A,,,14.0,,,,,61,,,,,,False,
1,107,26,55,A,A,,,14.0,,,,,62,,,,,,False,
4,107,26,55,A,A,,,14.0,,,,,63,,,,,,False,
5,107,26,55,A,A,,,14.0,,,,,64,,,,,,False,
17,107,26,55,A,A,,,14.0,,,,,65,,,,,,False,
1,107,27,55,A,A,,,14.0,,,,,66,,,,,,False,
4,107,27,55,A,A,,,14.0,,,,,67,,,,,,False,
5,107,27,55,A,A,,,14.0,,,,,68,,,,,,False,
17,107,27,55,A,A,,,14.0,,,,,69,,,,,,False,
1,107,28,55,A,A,,,14.0,,,,,70,,,,,,False,
4,107,28,55,A,A,,,14.0,,,,,71,,,,,,False,
5,107,28,55,A,A,,,14.0,,,,,72,,,,,,False,
17,107,28,55,A,A,,,14.0,,,,,73,,,,,,False,
1,107,29,55,A,A,,,14.0,,,,,74,,,,,,False,
