IdTurma,IdDisciplina,IdProfessor,QtdeMaximaAluno,IdPlanoPagamento,Ementa,ObjGeral,ObjEspecificos,Bibliografia,BibliografiaComplementar,Metodologia,Recursos,FormaDeAvaliacao,ConteudoProgramatico,Competencias,AulasPraticas,DataHoraAlteracao,IdProfessorAlteracao,DataHoraConfirmacao,IdUsuarioConfirmacao,SituacaoPlanoEnsino,DataAula_Inicio,DataAula_Termino,CompetenciasHabilidades,ContribuicaoPerfil,EstrategiaAprendizagem,LeituraComplementar,ArticulacaoOutrasDisciplinas,StGoogleEdu_Sincronizado,GoogleForEducation_LogProcessamento
11,1,13,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
11,4,4,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
11,19,14,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
35,1,1,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
35,4,1,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
35,18,1,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
52,1,13,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
52,4,9,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
52,16,14,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
53,1,2,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
53,4,2,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
53,16,14,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
63,1,13,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
63,4,4,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
63,19,14,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
69,1,13,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
69,4,9,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
69,16,14,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
70,1,12,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
70,4,6,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
70,16,14,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
71,1,12,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
71,4,6,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
71,16,14,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
72,1,12,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
72,4,9,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
72,16,14,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
73,1,12,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
73,4,9,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
73,16,14,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
74,1,12,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
74,4,9,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
74,16,14,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
75,1,12,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
75,4,6,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
75,16,14,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
76,1,12,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
76,4,9,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
76,16,14,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
77,1,12,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
77,4,6,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
77,16,14,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
78,1,5,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
78,4,6,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
78,19,14,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
79,1,13,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
79,4,4,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
79,19,14,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
80,1,5,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
80,4,6,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
80,19,14,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
81,1,5,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
81,4,6,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
81,19,13,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
82,1,3,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
82,4,8,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
82,5,11,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
82,19,13,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
83,1,3,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
83,4,8,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
83,5,11,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
83,19,13,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
84,1,5,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
84,4,8,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
84,5,11,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
84,19,13,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
85,1,5,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
85,4,8,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
85,5,11,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
85,19,13,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
86,1,5,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
86,4,8,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
86,5,11,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
86,19,13,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
87,1,5,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
87,4,8,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
87,5,11,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
87,19,13,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
88,1,5,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
88,4,8,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
88,5,11,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
88,19,13,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
89,1,5,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
89,4,6,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
89,19,13,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
90,1,5,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
90,4,8,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
90,5,11,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
90,19,13,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
91,1,5,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
91,4,8,,,,,,,,,,,,,,,,,,P,,,,,,,,False,
