IdTurma,IdDisciplina,IdProfessor
458,16,0
462,1,0
466,1,0
467,1,0
467,19,0
468,1,0
471,1,0
471,4,0
471,19,0
472,1,0
472,4,0
475,1,0
476,24,0
477,24,0
478,24,0
479,24,0
480,24,0
481,1,28
481,24,0
482,24,0
483,1,28
483,24,0
484,24,0
485,24,0
486,1,0
486,21,26
486,21,28
487,21,26
487,21,28
488,21,28
489,21,26
489,21,28
490,21,7
491,21,7
492,21,28
493,21,28
497,23,0
497,25,0
498,23,0
498,25,0
499,23,0
499,25,0
500,23,0
500,25,0
501,22,0
502,22,0
503,22,0
504,17,0
504,25,0
505,1,0
505,25,25
507,5,0
516,22,0
517,1,0
517,4,0
517,19,0
518,1,28
518,24,0
519,1,0
521,1,0
522,23,0
522,25,0
523,21,28
524,1,0
525,22,0
530,5,0
531,5,0
533,5,0
534,5,0
535,5,0
536,5,0
538,5,0
543,5,0
544,5,0
551,24,0
552,21,28
554,21,7
558,5,0
574,25,26
576,24,0
577,24,0
578,24,0
579,1,0
579,21,7
580,22,0
581,22,0
582,22,0
583,22,0
585,17,0
585,25,0
588,5,0
595,1,0
595,4,0
595,19,0
596,1,0
596,4,0
596,23,0
596,25,0
597,5,0
598,25,26
603,25,26
611,18,30
612,18,0
614,18,0
620,1,0
627,1,0
629,1,0
630,1,0
631,1,0
632,1,0
633,1,0
634,1,0
635,1,0
637,1,0
643,21,44
644,21,44
645,21,48
646,21,44
647,4,0
647,21,44
648,4,0
648,21,44
649,4,0
649,21,45
650,4,0
650,21,45
654,25,9
655,4,0
655,23,44
655,25,28
656,25,9
657,25,9
658,22,9
659,4,0
659,22,44
660,4,0
661,25,9
662,1,0
665,1,0
669,1,0
676,1,0
677,25,9
678,4,0
678,21,45
680,22,9
683,5,28
684,5,28
688,5,28
695,5,28
697,5,28
703,21,28
705,21,48
706,1,0
709,5,28
711,25,46
715,21,46
717,4,0
717,22,28
718,4,0
718,22,9
720,25,9
728,1,0
729,25,9
730,25,46
731,25,46
734,4,0
734,21,44
737,21,48
738,21,48
739,4,0
739,25,9
740,22,9
743,25,9
744,25,9
745,1,0
757,18,0
760,5,0
