cotacaoCompra,cotacaoVenda,dataHoraCotacao
"2,1334","2,1342",2007-01-02 17:38:00.0
"2,1364","2,1372",2007-01-03 17:43:00.0
"2,1421","2,1429",2007-01-04 17:44:00.0
"2,1466","2,1474",2007-01-05 17:39:00.0
"2,1497","2,1505",2007-01-08 17:34:00.0
"2,1498","2,1506",2007-01-09 17:36:00.0
"2,1548","2,1556",2007-01-10 17:36:00.0
"2,1457","2,1465",2007-01-11 17:32:00.0
"2,1413","2,1421",2007-01-12 17:33:00.0
"2,1399","2,1407",2007-01-15 17:40:00.0
"2,1436","2,1444",2007-01-16 17:44:00.0
"2,1342","2,135",2007-01-17 17:40:00.0
"2,1321","2,1329",2007-01-18 17:37:00.0
"2,1299","2,1307",2007-01-19 17:36:00.0
"2,1319","2,1327",2007-01-22 17:37:00.0
"2,136","2,1368",2007-01-23 17:36:00.0
"2,1278","2,1286",2007-01-24 17:36:00.0
"2,1273","2,1281",2007-01-25 17:34:00.0
"2,1352","2,136",2007-01-26 17:35:00.0
"2,1352","2,136",2007-01-29 17:35:00.0
"2,1321","2,1329",2007-01-30 17:48:00.0
"2,1239","2,1247",2007-01-31 17:39:00.0
"2,1085","2,1093",2007-02-01 17:47:00.0
"2,0974","2,0982",2007-02-02 17:35:00.0
"2,0956","2,0964",2007-02-05 17:39:00.0
"2,0825","2,0833",2007-02-06 17:40:00.0
"2,0844","2,0852",2007-02-07 17:36:00.0
"2,0943","2,0951",2007-02-08 17:48:00.0
"2,1025","2,1033",2007-02-09 17:40:00.0
"2,1132","2,114",2007-02-12 17:53:00.0
"2,108","2,1088",2007-02-13 17:43:00.0
"2,0992","2,1",2007-02-14 17:45:00.0
"2,0888","2,0896",2007-02-15 17:35:00.0
"2,0905","2,0913",2007-02-16 17:34:00.0
"2,0794","2,0802",2007-02-21 17:35:00.0
"2,0758","2,0766",2007-02-22 17:36:00.0
"2,086","2,0868",2007-02-23 17:38:00.0
"2,0855","2,0863",2007-02-26 17:35:00.0
"2,1091","2,1099",2007-02-27 17:43:00.0
"2,1174","2,1182",2007-02-28 17:33:00.0
"2,1252","2,126",2007-03-01 17:35:00.0
"2,1266","2,1274",2007-03-02 17:34:00.0
"2,138","2,1388",2007-03-05 17:35:00.0
"2,1201","2,1209",2007-03-06 17:32:00.0
"2,1113","2,1121",2007-03-07 17:33:00.0
"2,1046","2,1054",2007-03-08 17:42:00.0
"2,0975","2,0983",2007-03-09 17:41:00.0
"2,0894","2,0902",2007-03-12 17:33:00.0
"2,0954","2,0962",2007-03-13 17:38:00.0
"2,1036","2,1044",2007-03-14 17:36:00.0
"2,0901","2,0909",2007-03-15 17:37:00.0
"2,0907","2,0915",2007-03-16 17:39:00.0
"2,0784","2,0792",2007-03-19 17:33:00.0
"2,0755","2,0763",2007-03-20 17:38:00.0
"2,0668","2,0676",2007-03-21 17:33:00.0
"2,0594","2,0602",2007-03-22 17:35:00.0
"2,0644","2,0652",2007-03-23 17:38:00.0
"2,0593","2,0601",2007-03-26 17:34:00.0
"2,0629","2,0637",2007-03-27 17:43:00.0
"2,0708","2,0716",2007-03-28 21:21:00.0
"2,0537","2,0545",2007-03-29 17:35:00.0
"2,0496","2,0504",2007-03-30 17:38:00.0
"2,047","2,0478",2007-04-02 17:34:00.0
"2,0364","2,0372",2007-04-03 17:36:00.0
"2,0313","2,0321",2007-04-04 17:47:00.0
