,data,pais_origem,continente_destino,pais_destino,litro,valor_usd,valor_real,real_projecao
0,2007-01-01,Brasil,Europa,"Alemanha, República Democrática",119512,238052,463798.5207952,real
1,2007-01-01,Brasil,África,Angola,25931,49753,96934.1480228,real
2,2007-01-01,Brasil,América Central,Antilhas Holandesas,17025,17949,34970.1731124,real
3,2007-01-01,Brasil,Oceania,Austrália,60,281,547.4744356,real
4,2007-01-01,Brasil,América do Sul,Bolívia,4985,3550,6916.491980000001,real
5,2007-01-01,Brasil,Europa,Bélgica,1077,3751,7308.101807600001,real
6,2007-01-01,Brasil,América do Norte,Canadá,4172,18838,36702.2185688,real
7,2007-01-01,Brasil,América do Sul,Chile,60930,67353,131224.3617828,real
8,2007-01-01,Brasil,Ásia,China,7638,30390,59209.067964,real
9,2007-01-01,Brasil,Ásia,Cingapura,7270,17864,34804.5669664,real
10,2007-01-01,Brasil,Ásia,"Coreia, Republica Sul",1012,4650,9059.630340000002,real
11,2007-01-01,Brasil,América do Norte,Cuba,2669,5118,9971.4382968,real
12,2007-01-01,Brasil,Europa,Dinamarca,3480,11176,21774.285737600003,real
13,2007-01-01,Brasil,América do Sul,Equador,2700,3585,6984.682746,real
14,2007-01-01,Brasil,América do Norte,Estados Unidos,479269,810038,1578203.1916888,real
15,2007-01-01,Brasil,Europa,Estônia,77697,54056,105317.7156256,real
16,2007-01-01,Brasil,Europa,França,6349,11231,21881.4426556,real
17,2007-01-01,Brasil,Europa,Itália,7209,19860,38693.388936,real
18,2007-01-01,Brasil,Ásia,Japão,357943,316867,617354.3842892001,real
19,2007-01-01,Brasil,Europa,Luxemburgo,785,2033,3960.9093508,real
20,2007-01-01,Brasil,América do Norte,México,2453,15425,30052.644730000004,real
21,2007-01-01,Brasil,Europa,Noruega,10044,10044,19568.8015344,real
22,2007-01-01,Brasil,América Central,Panamá,810,1030,2006.756828,real
23,2007-01-01,Brasil,América do Sul,Paraguai,1285459,801519,1561605.5592444001,real
24,2007-01-01,Brasil,Europa,Países Baixos,181046,364751,710647.1454076001,real
25,2007-01-01,Brasil,Europa,Portugal,109074,165282,322020.17674320005,real
26,2007-01-01,Brasil,África,Quênia,10600,13860,27003.543336000002,real
27,2007-01-01,Brasil,Europa,Reino Unido,84613,144244,281031.6814544,real
28,2007-01-01,Brasil,América do Norte,República Dominicana,601,2438,4749.9739288,real
29,2007-01-01,Brasil,Europa,Rússia,266400,173160,337368.944016,real
30,2007-01-01,Brasil,América do Sul,Suriname,2700,4603,8968.0598828,real
31,2007-01-01,Brasil,Europa,Suécia,919,2448,4769.4570048000005,real
32,2007-01-01,Brasil,Europa,Suíça,26090,70716,137776.5202416,real
33,2007-01-01,Brasil,Ásia,Tailândia,839,2020,3935.581352,real
34,2007-01-01,Brasil,Ásia,Taiwan (FORMOSA),6377,11214,21848.3214264,real
35,2007-01-01,Brasil,Europa,"Tcheca, República",85303,189620,369438.08711200004,real
36,2007-01-01,Brasil,África,Togo,11,11,21.4313836,real
37,2007-01-01,Brasil,América do Sul,Venezuela,20700,27370,53325.179012,real
38,2008-01-01,Brasil,Europa,"Alemanha, República Democrática",265742,429970,790055.8247992126,real
39,2008-01-01,Brasil,África,Angola,25721,71083,130612.68970905512,real
40,2008-01-01,Brasil,América Central,Antilhas Holandesas,17938,22908,42092.70143149606,real
41,2008-01-01,Brasil,Oceania,Austrália,218726,99280,182423.7558110236,real
42,2008-01-01,Brasil,África,Benin,10350,17423,32014.19316574803,real
43,2008-01-01,Brasil,América do Sul,Bolívia,3979,3990,7331.494618110236,real
44,2008-01-01,Brasil,Europa,Bélgica,3523,12969,23830.11370984252,real
45,2008-01-01,Brasil,América do Norte,Canadá,20949,80476,147872.02027244095,real
46,2008-01-01,Brasil,Ásia,China,8689,25926,47638.17781181102,real
47,2008-01-01,Brasil,Ásia,Cingapura,1233,4699,8634.25895,real
48,2008-01-01,Brasil,Ásia,"Coreia, Republica Sul",3520,14366,26397.05555984252,real
49,2008-01-01,Brasil,América Central,Costa Rica,55,200,367.4934645669291,real
50,2008-01-01,Brasil,Europa,Dinamarca,518,15905,29224.91776968504,real
51,2008-01-01,Brasil,Ásia,Emirados Arabes Unidos,2437,12298,22597.173136220474,real
52,2008-01-01,Brasil,Europa,"Eslovaca, Republica",585,16063,29515.237606692914,real
53,2008-01-01,Brasil,Europa,Espanha,2942,6834,12557.251684251969,real
54,2008-01-01,Brasil,América do Norte,Estados Unidos,443895,804607,1478439.0702240157,real
55,2008-01-01,Brasil,Europa,Estônia,4114,9730,17878.557051181102,real
56,2008-01-01,Brasil,Europa,França,11078,27500,50530.35137795276,real
57,2008-01-01,Brasil,África,Gana,18168,25642,47116.337092125985,real
58,2008-01-01,Brasil,África,Guine Equatorial,548,1417,2603.691196456693,real
59,2008-01-01,Brasil,América do Norte,Haiti,20,20,36.74934645669291,real
60,2008-01-01,Brasil,América Central,Honduras,162,580,1065.7310472440945,real
61,2008-01-01,Brasil,Ásia,Hong Kong,2430,13460,24732.31016535433,real
62,2008-01-01,Brasil,Ásia,Japão,232293,178333,327681.0600830709,real
63,2008-01-01,Brasil,Europa,Luxemburgo,13606,42341,77800.20391614173,real
64,2008-01-01,Brasil,África,Namibia,340,722,1326.6514070866142,real
65,2008-01-01,Brasil,África,Nigéria,7560,10920,20065.14316535433,real
66,2008-01-01,Brasil,América Central,Panamá,1161,1882,3458.113501574803,real
67,2008-01-01,Brasil,América do Sul,Paraguai,2191901,1374088,2524841.7986992127,real
68,2008-01-01,Brasil,Europa,Países Baixos,340412,783635,1439903.7055295275,real
69,2008-01-01,Brasil,Europa,Polônia,20290,58353,107221.73068937007,real
70,2008-01-01,Brasil,Europa,Portugal,49090,48942,89929.32571417323,real
71,2008-01-01,Brasil,Europa,Reino Unido,100097,155076,284947.0825559055,real
72,2008-01-01,Brasil,Europa,Rússia,6207658,2352768,4323134.318211024,real
73,2008-01-01,Brasil,América do Sul,Suriname,900,1625,2985.884399606299,real
74,2008-01-01,Brasil,Europa,Suécia,26984,84564,155383.58668818898,real
75,2008-01-01,Brasil,Europa,Suíça,54384,216317,397475.418873622,real
76,2008-01-01,Brasil,Ásia,Taiwan (FORMOSA),10030,18679,34322.05212322834,real
77,2008-01-01,Brasil,Europa,"Tcheca, República",17135,64709,118900.67299330709,real
78,2008-01-01,Brasil,África,Togo,5160,7800,14332.245118110235,real
79,2009-01-01,Brasil,Europa,"Alemanha, República Democrática",225086,393482,784425.7263144,real
80,2009-01-01,Brasil,África,Angola,54786,84235,167926.616862,real
81,2009-01-01,Brasil,América Central,Antilhas Holandesas,8235,10651,21233.2925292,real
82,2009-01-01,Brasil,América do Sul,Argentina,162,4523,9016.823031599999,real
83,2009-01-01,Brasil,Oceania,Austrália,1014,9195,18330.684893999998,real
84,2009-01-01,Brasil,América do Sul,Bolívia,40463,20729,41324.2813668,real
85,2009-01-01,Brasil,Europa,Bélgica,125962,58764,117148.9251888,real
86,2009-01-01,Brasil,América do Norte,Canadá,15664,73445,146416.220994,real
87,2009-01-01,Brasil,América do Sul,Chile,1475,4297,8566.2809124,real
88,2009-01-01,Brasil,Ásia,China,1553416,482400,961688.13408,real
89,2009-01-01,Brasil,Ásia,Cingapura,2419,6110,12180.585611999999,real
90,2009-01-01,Brasil,Europa,Dinamarca,1980,21780,43419.501575999995,real
91,2009-01-01,Brasil,América Central,El Salvador,55,100,199.35492,real
92,2009-01-01,Brasil,Ásia,Emirados Arabes Unidos,1398,4032,8037.990374399999,real
93,2009-01-01,Brasil,Europa,Espanha,2181,4050,8073.87426,real
94,2009-01-01,Brasil,América do Norte,Estados Unidos,372319,660066,1315874.0462471999,real
95,2009-01-01,Brasil,Europa,Estônia,5438,10802,21534.318458399997,real
96,2009-01-01,Brasil,América Central,Guatemala,20,20,39.870984,real
97,2009-01-01,Brasil,África,Guine Equatorial,169,272,542.2453823999999,real
98,2009-01-01,Brasil,América do Norte,Haiti,4500,5863,11688.1789596,real
99,2009-01-01,Brasil,América Central,Honduras,14,30,59.806475999999996,real
100,2009-01-01,Brasil,Ásia,Hong Kong,50319,27188,54200.6156496,real
101,2009-01-01,Brasil,Europa,Itália,1817,5251,10468.1268492,real
102,2009-01-01,Brasil,Ásia,Japão,217974,283436,565043.6110512,real
103,2009-01-01,Brasil,Europa,Luxemburgo,7845,42124,83976.26650079999,real
104,2009-01-01,Brasil,América Central,Nicaragua,24,24,47.845180799999994,real
105,2009-01-01,Brasil,África,Nigéria,41,115,229.25815799999998,real
106,2009-01-01,Brasil,América Central,Panamá,24,30,59.806475999999996,real
107,2009-01-01,Brasil,América do Sul,Paraguai,486927,392087,781644.7251804,real
