,Tipo da uva,Nome da uva,Ano,Kilogramas
0,TIN,TINTAS,2007,43653087
1,TINTAS,Alicante Bouschet,2007,1775837
2,TINTAS,Ancelota,2007,1532209
3,TINTAS,Alfrocheiro,2007,20509
4,TINTAS,Arinarnoa,2007,24878
5,TINTAS,Barbera,2007,68946
6,TINTAS,Bonarda,2007,6207
7,TINTAS,Cabernet Franc,2007,4081725
8,TINTAS,Cabernet Sauvignon,2007,14489153
9,TINTAS,Caladoc,2007,1100
10,TINTAS,Carmenere,2007,328254
11,TINTAS,Castelão,2007,487
12,TINTAS,Croatina,2007,4700
13,TINTAS,Dom Felder,2007,17590
14,TINTAS,Egiodola,2007,1265676
15,TINTAS,Franconia,2007,3633
16,TINTAS,Freisa,2007,6727
17,TINTAS,Gamay St Romain,2007,45266
18,TINTAS,Gamay Beaujolais,2007,320115
19,TINTAS,Jaen,2007,215
20,TINTAS,Lagrein,2007,190
21,TINTAS,Lambrusco,2007,96068
22,TINTAS,Malbec,2007,399928
23,TINTAS,Merlot,2007,11399362
24,TINTAS,Marselan,2007,109574
25,TINTAS,Montepulciano,2007,30820
26,TINTAS,Napa Gamay,2007,175040
27,TINTAS,Nebbiolo,2007,13971
28,TINTAS,Petit Verdot,2007,57029
29,TINTAS,Petite Sirah,2007,99577
30,TINTAS,Pinotage,2007,1113861
31,TINTAS,Pinot Noir,2007,1270351
32,TINTAS,Pinot Saint George,2007,72560
33,TINTAS,Rebo,2007,3000
34,TINTAS,Refosco,2007,17415
35,TINTAS,Ruby Cabernet,2007,782800
36,TINTAS,Sangiovese,2007,115475
37,TINTAS,Tannat,2007,3514880
38,TINTAS,Tempranillo,2007,192063
39,TINTAS,Teroldego,2007,61659
40,TINTAS,Tinta Barroca,2007,6520
41,TINTAS,Touriga Nacional,2007,127462
42,TINTAS,Trincdeira,2007,255
43,BRA,BRANCAS E ROSADAS,2007,28254191
44,BRANCAS E ROSADAS,Alvarinho,2007,2477
45,BRANCAS E ROSADAS,Arriloba,2007,22832
46,BRANCAS E ROSADAS,Chardonnay,2007,1752488
47,BRANCAS E ROSADAS,Chasselas,2007,48268
48,BRANCAS E ROSADAS,Chenin Blanc,2007,355185
49,BRANCAS E ROSADAS,Colombard,2007,593625
50,BRANCAS E ROSADAS,Flora,2007,176396
51,BRANCAS E ROSADAS,Garganega,2007,16970
52,BRANCAS E ROSADAS,Gewurztraminer,2007,284818
53,BRANCAS E ROSADAS,Gouveio,2007,5848
54,BRANCAS E ROSADAS,Gros Manseng,2007,5770
55,BRANCAS E ROSADAS,Malvasia Amarela,2007,94281
56,BRANCAS E ROSADAS,Malvasia Bianca,2007,191316
57,BRANCAS E ROSADAS,Malvasia Chianti,2007,15235
58,BRANCAS E ROSADAS,Malvasia Verde,2007,253369
59,BRANCAS E ROSADAS,Malvasia di Candia,2007,283476
60,BRANCAS E ROSADAS,Moscato Branco,2007,15717087
61,BRANCAS E ROSADAS,Moscato Canelli,2007,84053
62,BRANCAS E ROSADAS,Moscato Giallo,2007,1173519
63,BRANCAS E ROSADAS,Moscato Nazareno,2007,616480
64,BRANCAS E ROSADAS,Moscato Bianco R2,2007,406650
65,BRANCAS E ROSADAS,Moscato de Alexandria,2007,51979
66,BRANCAS E ROSADAS,Moscato Rosado,2007,1226
67,BRANCAS E ROSADAS,Peverella,2007,111726
68,BRANCAS E ROSADAS,Pinot Blanc,2007,14620
69,BRANCAS E ROSADAS,Pinot Gris,2007,28779
70,BRANCAS E ROSADAS,Prosecco,2007,910158
71,BRANCAS E ROSADAS,Riesling Italico,2007,1960822
72,BRANCAS E ROSADAS,Riesling Renano,2007,242940
73,BRANCAS E ROSADAS,Sauvignon Blanc(2),2007,618034
74,BRANCAS E ROSADAS,Sauvignon Gris,2007,3213
75,BRANCAS E ROSADAS,Semillon,2007,408016
76,BRANCAS E ROSADAS,Schonburger,2007,15239
77,BRANCAS E ROSADAS,Sylvaner,2007,4693
78,BRANCAS E ROSADAS,Trebbiano,2007,1711643
79,BRANCAS E ROSADAS,Vermentino,2007,660
80,BRANCAS E ROSADAS,Vernaccia,2007,32672
81,BRANCAS E ROSADAS,Viognier,2007,37628
82,TIN,TINTAS,2008,48852574
83,TINTAS,Alicante Bouschet,2008,1588326
84,TINTAS,Ancelota,2008,1709883
85,TINTAS,Alfrocheiro,2008,25310
86,TINTAS,Arinarnoa,2008,12686
87,TINTAS,Barbera,2008,92279
88,TINTAS,Bonarda,2008,7640
89,TINTAS,Cabernet Franc,2008,4008067
90,TINTAS,Cabernet Sauvignon,2008,16646632
91,TINTAS,Carmenere,2008,223269
92,TINTAS,Castelão,2008,23252
93,TINTAS,Corvina,2008,710
94,TINTAS,Egiodola,2008,1366406
95,TINTAS,Ekigaina,2008,1720
96,TINTAS,Gamay St Romain,2008,59576
97,TINTAS,Gamay Beaujolais,2008,316366
98,TINTAS,Jaen,2008,1037
99,TINTAS,Lagrein,2008,420
100,TINTAS,Lambrusco,2008,113388
101,TINTAS,Malbec,2008,414138
102,TINTAS,Merlot,2008,11866618
103,TINTAS,Marselan,2008,181823
104,TINTAS,Molinera,2008,692
105,TINTAS,Montepulciano,2008,34060
106,TINTAS,Napa Gamay,2008,179050
107,TINTAS,Nebbiolo,2008,10019
108,TINTAS,Petit Verdot,2008,50933
109,TINTAS,Petite Sirah,2008,77759
110,TINTAS,Pinotage,2008,1578657
111,TINTAS,Pinot Noir,2008,1930823
112,TINTAS,Pinot Saint George,2008,28170
113,TINTAS,Rebo,2008,7610
114,TINTAS,Refosco,2008,59340
115,TINTAS,Rondinella,2008,668
116,TINTAS,Ruby Cabernet,2008,679484
117,TINTAS,Sangiovese,2008,405224
118,TINTAS,Sira (falsa),2008,14145
119,TINTAS,Tannat,2008,4711255
120,TINTAS,Tempranillo,2008,241017
121,TINTAS,Teroldego,2008,69876
122,TINTAS,Tinta Barroca,2008,12870
123,TINTAS,Touriga Nacional,2008,101376
124,BRA,BRANCAS E ROSADAS,2008,34602464
125,BRANCAS E ROSADAS,Alvarinho,2008,1071
126,BRANCAS E ROSADAS,Arriloba,2008,51380
127,BRANCAS E ROSADAS,Chardonnay,2008,5829449
128,BRANCAS E ROSADAS,Chasselas,2008,58390
129,BRANCAS E ROSADAS,Chenin Blanc,2008,362750
130,BRANCAS E ROSADAS,Colombard,2008,879719
131,BRANCAS E ROSADAS,Flora,2008,176229
132,BRANCAS E ROSADAS,Garganega,2008,8530
133,BRANCAS E ROSADAS,Gewurztraminer,2008,196483
134,BRANCAS E ROSADAS,Gouveio,2008,2090
135,BRANCAS E ROSADAS,Gros Manseng,2008,1800
136,BRANCAS E ROSADAS,Malvasia Amarela,2008,131350
137,BRANCAS E ROSADAS,Malvasia Bianca,2008,325942
